outlier_mode,scaler,nCluster,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
local,StandardScaler,1,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2908515930175781,0.00760960578918457
local,StandardScaler,6,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2751650810241699,0.0075228214263916016
local,StandardScaler,11,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2679736614227295,0.007340431213378906
local,StandardScaler,16,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2783839702606201,0.008180379867553711
local,StandardScaler,21,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2852025032043457,0.008320808410644531
local,StandardScaler,26,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.28500962257385254,0.008991003036499023
local,StandardScaler,31,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2950470447540283,0.007355213165283203
local,StandardScaler,36,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2921574115753174,0.008633136749267578
local,StandardScaler,41,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.30367445945739746,0.010799884796142578
local,StandardScaler,46,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.31814098358154297,0.011590719223022461
local,StandardScaler,51,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.32728052139282227,0.009799480438232422
local,StandardScaler,56,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.35384130477905273,0.016111373901367188
local,StandardScaler,61,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.3548915386199951,0.010737895965576172
local,StandardScaler,66,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.33299708366394043,0.013743400573730469
local,StandardScaler,71,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.35079288482666016,0.012377500534057617
local,StandardScaler,76,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.37313389778137207,0.012115478515625
local,StandardScaler,81,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.36863017082214355,0.017164230346679688
local,StandardScaler,86,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.3845522403717041,0.012975692749023438
local,StandardScaler,91,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.5051512718200684,0.025259017944335938
local,StandardScaler,96,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.443767786026001,0.014999628067016602
local,StandardScaler,101,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.45658206939697266,0.01563119888305664
local,StandardScaler,106,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.6594374179840088,0.021275997161865234
local,StandardScaler,111,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,1.0956141948699951,0.020637035369873047
local,StandardScaler,116,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.9145774841308594,0.022305011749267578
local,StandardScaler,121,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.8557181358337402,0.018002986907958984
local,StandardScaler,126,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.9282627105712891,0.01896357536315918
local,StandardScaler,131,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.9295222759246826,0.02335643768310547
local,StandardScaler,136,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.9733688831329346,0.018817424774169922
local,StandardScaler,141,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,1.0134096145629883,0.019808053970336914
local,StandardScaler,146,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.9386012554168701,0.022138595581054688
local,StandardScaler,151,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.9746708869934082,0.021392345428466797
local,StandardScaler,156,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.9515540599822998,0.023233413696289062
local,StandardScaler,161,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.99037766456604,0.027931690216064453
local,StandardScaler,166,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.9560070037841797,0.023435115814208984
local,StandardScaler,171,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,1.000274658203125,0.03608226776123047
local,StandardScaler,176,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,1.0522942543029785,0.02912449836730957
