outlier_mode,scaler,nCluster,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
local,StandardScaler,30,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,1.1591525077819824,0.25195884704589844
local,StandardScaler,35,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,0.9435350894927979,0.15144681930541992
local,StandardScaler,40,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,1.1217074394226074,0.1275923252105713
local,StandardScaler,45,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,1.098163366317749,0.1373453140258789
local,StandardScaler,50,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,1.0394160747528076,0.1656937599182129
local,StandardScaler,55,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,0.8846917152404785,0.11616301536560059
local,StandardScaler,60,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,0.8332712650299072,0.11397981643676758
local,StandardScaler,65,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,0.8290567398071289,0.11268424987792969
local,StandardScaler,70,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,0.8122167587280273,0.1400914192199707
local,StandardScaler,75,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,0.9186086654663086,0.14402270317077637
local,StandardScaler,80,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,1.0917463302612305,0.20673561096191406
local,StandardScaler,85,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,1.0591983795166016,0.16211652755737305
local,StandardScaler,90,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,1.0410256385803223,0.14307665824890137
local,StandardScaler,95,50.0,90.47142857142858,90.47142857142858,0.0,0.9499737493437336,0.9047142857142857,1.0,1.2702999114990234,0.2069413661956787
