Dataset,Model,outlier_mode,scaler,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_ToNIoT.csv,VAE,local,QuantileTransformer,72.79347558322982,94.89470024617982,31.757142857142856,0.07957552558312,0.3961572493995702,0.934964200477327,0.2513231756214916,9.101219177246094,1.167393684387207
data_ToNIoT.csv,VAE,cluster,QuantileTransformer,99.0938563733036,99.84065353503603,98.64285714285714,0.9297310892328267,0.9924066821197347,0.9872773536895675,0.9975895870159087,1.7670388221740723,1.2272942066192627
data_ToNIoT.csv,VAE,global,QuantileTransformer,99.22843705427918,99.8409863630268,98.55714285714285,0.9232760836229001,0.9919783972678898,0.9840844626536401,1.0,2.395047903060913,1.1278774738311768
data_ToNIoT.csv,VAE,local,MinMaxScaler,86.64633991536799,97.50378392712915,53.47142857142857,0.2595539357343944,0.6495211449478101,0.9801883728483274,0.48567750241390406,2.6453003883361816,1.2186064720153809
data_ToNIoT.csv,VAE,cluster,MinMaxScaler,99.09749967612385,99.87327148791766,98.71428571428571,0.9334207153581003,0.992822966507177,0.9857482185273159,1.0,2.143665313720703,1.1067311763763428
data_ToNIoT.csv,VAE,global,MinMaxScaler,99.640624668651,99.91024160744195,98.67142857142858,0.9316343341058873,0.9925784055542255,0.9852661596958175,1.0,2.020704984664917,1.2243828773498535
data_ToNIoT.csv,VAE,local,Normalizer,94.972091331459,99.14975195902677,91.14285714285715,0.6483963625807957,0.9486669978473258,0.9818337617823479,0.9176677879224732,2.247302532196045,2.1747796535491943
data_ToNIoT.csv,VAE,cluster,Normalizer,99.28665221073052,99.85010457840131,98.81428571428572,0.9371498268080096,0.9933996023856858,0.9868857639437509,1.0,2.035555362701416,0.752976655960083
data_ToNIoT.csv,VAE,global,Normalizer,99.86331574063912,99.96605717498709,98.68571428571428,0.9331606914384053,0.9926458832933653,0.9853991429931757,1.0,1.8928020000457764,1.1883304119110107
data_ToNIoT.csv,VAE,global,RobustScaler,99.77066274328867,99.92056069179804,99.14285714285714,0.9562185232150309,0.9951992318771004,0.9904443382704252,1.0,3.7364704608917236,0.9525690078735352
data_ToNIoT.csv,VAE,local,StandardScaler,82.786122529875,97.04826226870969,56.31428571428572,0.26178437699523227,0.6800585896631095,0.9756829780846593,0.5219206680584552,1.9687588214874268,1.0331614017486572
data_ToNIoT.csv,VAE,cluster,StandardScaler,99.87775061124695,99.96765847347994,98.78571428571429,0.9401777920498258,0.9931721423407501,0.9864368916546992,1.0,1.8118112087249756,1.0861468315124512
data_ToNIoT.csv,VAE,global,StandardScaler,99.87986104669653,99.95185605211938,98.78571428571429,0.9372656296195152,0.9932179047315088,0.9865271833888096,1.0,3.001298427581787,0.9479944705963135
