Model,scaler,cluster,AUCPR,AUCROC,best_loss,noise_percentage,scaled
ourmodel,MinMaxScaler,60.0,95.46326580629464,75.58111167512541,4.0,0.0,
LUNAR,,,98.62689813281268,92.41912981243148,,,Normalizer
DeepSVDD,,,97.7536234807243,87.9077107530395,,,Normalizer
HBOS,,,97.50350234488783,84.52013845823949,,,Normalizer
PCA,,,96.1030615960579,79.42968258760527,,,Normalizer
AutoEncoder,,,93.59761299369308,69.7028651176732,,,Normalizer
LODA,,,93.2563414546226,60.085917366171415,,,Normalizer
AE1SVM,,,93.10962964300404,65.33266308087558,,,Normalizer
LOF,,,93.02312417444472,55.14987462556063,,,Normalizer
CBLOF,,,91.040695891282,59.15635886738251,,,Normalizer
IForest,,,90.7544535450729,61.83251548275653,,,Normalizer
OCSVM,,,90.20688317459307,49.41483733617946,,,Normalizer
ALAD,,,90.14428725293152,50.39126465244156,,,Normalizer
KNN,,,89.75266566690277,67.80441436997123,,,Normalizer
DevNet,,,86.26605155608351,38.78808107372439,,,Normalizer
COPOD,,,84.59865088086124,43.011176000070286,,,Normalizer
ECOD,,,82.38458069012393,35.34594771762152,,,Normalizer
ourmodel,Normalizer,55.0,93.2603614887137,66.11504595638786,6.0,0.0,
LUNAR,,,98.62689813281268,92.41912981243148,,,Normalizer
DeepSVDD,,,97.7536234807243,87.9077107530395,,,Normalizer
HBOS,,,97.50350234488783,84.52013845823949,,,Normalizer
PCA,,,96.1030615960579,79.42968258760527,,,Normalizer
AutoEncoder,,,93.59761299369308,69.7028651176732,,,Normalizer
LODA,,,93.2563414546226,60.085917366171415,,,Normalizer
AE1SVM,,,93.10962964300404,65.33266308087558,,,Normalizer
LOF,,,93.02312417444472,55.14987462556063,,,Normalizer
CBLOF,,,91.040695891282,59.15635886738251,,,Normalizer
IForest,,,90.7544535450729,61.83251548275653,,,Normalizer
OCSVM,,,90.20688317459307,49.41483733617946,,,Normalizer
ALAD,,,90.14428725293152,50.39126465244156,,,Normalizer
KNN,,,89.75266566690277,67.80441436997123,,,Normalizer
DevNet,,,86.26605155608351,38.78808107372439,,,Normalizer
COPOD,,,84.59865088086124,43.011176000070286,,,Normalizer
ECOD,,,82.38458069012393,35.34594771762152,,,Normalizer
ourmodel,StandardScaler,65.0,95.4959223530353,71.27783995130055,4.0,0.0,
LUNAR,,,98.62689813281268,92.41912981243148,,,Normalizer
DeepSVDD,,,97.7536234807243,87.9077107530395,,,Normalizer
HBOS,,,97.50350234488783,84.52013845823949,,,Normalizer
PCA,,,96.1030615960579,79.42968258760527,,,Normalizer
AutoEncoder,,,93.59761299369308,69.7028651176732,,,Normalizer
LODA,,,93.2563414546226,60.085917366171415,,,Normalizer
AE1SVM,,,93.10962964300404,65.33266308087558,,,Normalizer
LOF,,,93.02312417444472,55.14987462556063,,,Normalizer
CBLOF,,,91.040695891282,59.15635886738251,,,Normalizer
IForest,,,90.7544535450729,61.83251548275653,,,Normalizer
OCSVM,,,90.20688317459307,49.41483733617946,,,Normalizer
ALAD,,,90.14428725293152,50.39126465244156,,,Normalizer
KNN,,,89.75266566690277,67.80441436997123,,,Normalizer
DevNet,,,86.26605155608351,38.78808107372439,,,Normalizer
COPOD,,,84.59865088086124,43.011176000070286,,,Normalizer
