Model,data_BoTIoT.csv,data_CICIoT2023.csv,data_N_BaIoT.csv
ourmodel,100.0,100.0,100.0
CBLOF,99.93055556,99.1416309,92.46795272
KNN,99.93055556,99.1416309,92.65860963
OCSVM,99.93055556,99.35622318,94.40038888
LOF,99.93055556,98.92703863,97.18165618
DeepSVDD,99.93055556,95.29127405,99.61890244
AE1SVM,99.93055556,98.06866953,99.77134146
SO_GAAL,99.92526158,100.0,98.89415482
VAE,99.92526158,95.5899303,99.92101106
PCA,99.86111111,95.77053119,99.92378049
AutoEncoder,99.86111111,94.20600858,99.69512195
MO_GAAL,99.70104634,99.67911439,99.68404423
HBOS,96.61866375,65.15670912,99.98820183
IForest,94.54280564,59.27395699,99.03221404
LODA,77.22635793,37.95289688,95.70347342
ALAD,65.40285518,68.36684085,89.38533961
ECOD,28.77222665,44.44746057,19.62791806
COPOD,27.9964172,56.28368166,12.68201854
DevNet,0.069444444,1.072961373,3.395348591
