Model,data_BoTIoT.csv,data_CICIoT2023.csv,data_N_BaIoT.csv
ourmodel,98.96346760804016,99.74068432841648,99.5515640689168
LOF,90.62081101,87.49023173,97.56348817
OCSVM,90.56479603,63.13652548,92.33417104
AE1SVM,90.40908365,96.33546862,98.71994224
KNN,90.10791764,70.90336545,96.74291894
VAE,89.61254393,99.13261219,98.97749569
AutoEncoder,89.57576429,97.65260499,99.50902864
CBLOF,89.4930545,69.5107628,95.71367999
PCA,87.25929443,97.54643608,98.10729886
DeepSVDD,86.47234903,94.06658369,94.02162189
IForest,83.22656879,94.93141865,96.50243044
ECOD,78.26101393,98.12091941,97.1115224
HBOS,77.33370015,89.42284342,95.38678167
COPOD,73.88607625,92.45065908,95.00349263
LODA,73.64974995,60.45609953,92.56005794
SO_GAAL,59.99143959,46.6832333,47.57642113
MO_GAAL,55.83161751,42.40917651,38.15733652
ALAD,54.33563453,51.7427384,50.64578194
DevNet,46.25371411,54.5032294,50.13103048
