Dataset,Model,scaled,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_N_BaIoT.csv,CBLOF,MinMaxScaler,0,97.75656505,99.28627803,98.4661823,0.90971649,0.991544936,0.98804658,0.995068153,6.148079157,0.326481581
data_N_BaIoT.csv,KNN,MinMaxScaler,0,96.30888829,99.5280748,80.88168193,0.45581577,0.883384358,0.984397366,0.80117277,0.821819305,31.81888986
data_N_BaIoT.csv,IForest,MinMaxScaler,0,91.69581395,98.4675426,80.08142922,0.448548688,0.877822989,0.984974394,0.79169741,0.984136581,2.486984968
data_N_BaIoT.csv,OCSVM,MinMaxScaler,0,98.23452112,99.36357305,98.65571584,0.920916834,0.992590873,0.988936859,0.996271989,4.17314744,17.29922509
data_N_BaIoT.csv,LOF,MinMaxScaler,0,97.54272883,99.41710723,93.60850795,0.711980772,0.9637446,0.988846217,0.93988583,0.786665201,6.427149296
data_N_BaIoT.csv,DeepSVDD,MinMaxScaler,0,99.96037713,99.99329,98.99968411,0.941370067,0.994496688,0.989053618,1,19.5257082,0.049639702
data_N_BaIoT.csv,HBOS,MinMaxScaler,0,89.18790341,98.14789777,77.77543786,0.420930078,0.861734649,0.984385133,0.766261504,2.339741707,1.30897212
data_N_BaIoT.csv,PCA,MinMaxScaler,0,99.91778507,99.9880836,98.95405567,0.938640027,0.994247104,0.988560021,1,0.795539856,0.509980917
data_N_BaIoT.csv,LODA,MinMaxScaler,0,98.74840521,99.64838272,98.75048261,0.92774553,0.993092207,0.992437464,0.993747816,0.33765173,0.897675037
data_N_BaIoT.csv,ECOD,MinMaxScaler,0,30.52736241,83.62852634,8.802779825,-0.276694962,0.002839928,0.120915033,0.001436837,0.26666975,1.980672598
data_N_BaIoT.csv,COPOD,MinMaxScaler,0,31.94365423,85.31645796,8.908076235,-0.259765485,0.00429695,0.178343949,0.002174673,0.161442995,2.051241159
data_N_BaIoT.csv,AutoEncoder,MinMaxScaler,0,99.9626221,99.99213207,98.9119371,0.93611535,0.99401683,0.988104831,1,6.559478283,2.000166893
