Dataset,Model,outlier_mode,scaler,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_N_BaIoT.csv,CBLOF,local,StandardScaler,85.07397161,97.05588259,30.58571429,0.088921636,0.393155989,0.95451789,0.247562126,0.909989119,0.099358559
data_N_BaIoT.csv,KNN,local,StandardScaler,83.62315389,96.60269707,26.58571429,0.084416631,0.331468713,0.9586155,0.200377477,0.004025221,0.855575323
data_N_BaIoT.csv,IForest,local,StandardScaler,86.59152401,97.53079124,36.37142857,0.148381775,0.467097392,0.976,0.307014785,0.144265652,0.392864227
data_N_BaIoT.csv,OCSVM,local,StandardScaler,83.07239683,96.09127317,27.4,0.06544256,0.34762516,0.945530726,0.21296005,0.006523132,0.145396233
data_N_BaIoT.csv,LOF,local,StandardScaler,88.6472166,97.72117186,35.74285714,0.134567042,0.460412668,0.970171891,0.301824473,0.011304379,0.10550046
data_N_BaIoT.csv,DeepSVDD,local,StandardScaler,83.21654765,96.93852421,30.44285714,0.113119051,0.387315968,0.968533669,0.242057251,0.483095646,0.010423183
data_N_BaIoT.csv,HBOS,local,StandardScaler,85.30645278,97.53512213,43.2,0.180281237,0.550632911,0.978313253,0.383139352,0.014930964,0.032924891
data_N_BaIoT.csv,PCA,local,StandardScaler,86.34028903,97.4907447,33.88571429,0.138547473,0.433953033,0.97579758,0.279018559,0.009022951,0.115873337
data_N_BaIoT.csv,LODA,local,StandardScaler,70.44614237,95.62171523,40.94285714,0.164320909,0.524718326,0.975213675,0.358917899,0.022574902,0.046986103
data_N_BaIoT.csv,ECOD,local,StandardScaler,85.68585313,97.40535344,19.94285714,0.096256813,0.214245653,0.987080103,0.120163573,0.017652273,0.372887135
data_N_BaIoT.csv,COPOD,local,StandardScaler,82.58087782,96.5297741,17.91428571,0.069263677,0.180079909,0.970769231,0.099245046,0.004989386,0.345199585
data_N_BaIoT.csv,AutoEncoder,local,StandardScaler,89.39513983,98.14628789,54.22857143,0.237530403,0.66742786,0.981379731,0.505662158,0.703521013,2.383145332
data_N_BaIoT.csv,DevNet,local,StandardScaler,51.38414429,92.95569368,32.57142857,0.123372627,0.417283951,0.970149254,0.265806858,0.185536385,0.126576185
data_N_BaIoT.csv,LUNAR,local,StandardScaler,87.40383004,97.81794861,34.75714286,0.153946231,0.444065733,0.982229402,0.286882668,1.499505043,0.174404144
data_N_BaIoT.csv,AE1SVM,local,StandardScaler,89.53414591,98.26435506,60.28571429,0.279192288,0.723383085,0.984561213,0.571720667,3.763469458,2.459084749
data_N_BaIoT.csv,ALAD,local,StandardScaler,37.67020527,88.20173648,13.8,-0.023059152,0.110291949,0.882075472,0.058823529,5.057710409,0.038658619
data_N_BaIoT.csv,CBLOF,cluster,StandardScaler,92.46795272,98.20816355,98.65714286,0.918802861,0.992645908,0.985399192,1,0.976660252,0.092316866
data_N_BaIoT.csv,KNN,cluster,StandardScaler,92.65860963,98.38735336,96.97142857,0.833854249,0.983174603,0.990089514,0.976355612,0.010816813,0.839754581
data_N_BaIoT.csv,IForest,cluster,StandardScaler,99.03221404,99.85453665,98.94285714,0.936464467,0.994201536,0.988469928,1,0.137565613,0.323784828
data_N_BaIoT.csv,OCSVM,cluster,StandardScaler,94.40038888,98.85541242,98.77142857,0.925894723,0.993267575,0.986625194,1,0.005922794,0.135507822
data_N_BaIoT.csv,LOF,cluster,StandardScaler,97.18165618,99.29605729,93,0.67803816,0.960388036,0.98572851,0.936317781,0.002455235,0.092164755
data_N_BaIoT.csv,DeepSVDD,cluster,StandardScaler,99.61890244,99.92124744,98.77142857,0.925894723,0.993267575,0.986625194,1,0.510600328,0.007759094
data_N_BaIoT.csv,HBOS,cluster,StandardScaler,99.98820183,99.99876751,98.75714286,0.925010252,0.993189824,0.986471777,1,0.018253803,0.037484407
data_N_BaIoT.csv,PCA,cluster,StandardScaler,99.92378049,99.98423956,98.88571429,0.932950144,0.99389002,0.987854251,1,0.055298328,0.094892979
data_N_BaIoT.csv,LODA,cluster,StandardScaler,95.70347342,99.09337161,98.92857143,0.935530229,0.994119953,0.988925285,0.999369483,0.017063141,0.051002026
data_N_BaIoT.csv,ECOD,cluster,StandardScaler,19.62791806,84.16643259,15.38571429,-0.100994778,0.15518471,0.815592204,0.085750315,0.00551939,0.335695744
data_N_BaIoT.csv,COPOD,cluster,StandardScaler,12.68201854,81.85432976,17.08571429,-0.268915754,0.227369542,0.731164384,0.134615385,0.004604101,0.308787107
data_N_BaIoT.csv,AutoEncoder,cluster,StandardScaler,99.69512195,99.93698803,98.95714286,0.937341672,0.994279445,0.988623968,1,0.632150173,2.37909627
data_N_BaIoT.csv,DevNet,cluster,StandardScaler,3.395348591,76.09834855,8.442857143,-0.301066971,0,0,0,0.162537575,0.123496056
data_N_BaIoT.csv,LUNAR,cluster,StandardScaler,99.46646341,99.88978114,99.41428571,0.965132132,0.996779009,0.9935787,1,1.70534873,0.144923449
data_N_BaIoT.csv,AE1SVM,cluster,StandardScaler,99.77134146,99.95273357,99.15714286,0.949565839,0.99537146,0.990785569,1,3.065907001,2.491269588
data_N_BaIoT.csv,ALAD,cluster,StandardScaler,89.38533961,98.64511007,74.85714286,0.379343396,0.841384283,0.982323232,0.735813367,5.200953007,0.035890102
data_N_BaIoT.csv,CBLOF,global,StandardScaler,99.57515241,99.89923645,99.24285714,0.95451808,0.995842811,0.991720044,1,0.950189114,0.090967655
data_N_BaIoT.csv,KNN,global,StandardScaler,99.59218594,99.91363382,99.28571429,0.957129692,0.996077201,0.992185058,1,0.009831905,0.850298405
data_N_BaIoT.csv,IForest,global,StandardScaler,99.95846719,99.99542447,99.01428571,0.94050892,0.994594595,0.989247312,1,0.157196283,0.397996902
data_N_BaIoT.csv,OCSVM,global,StandardScaler,94.24846626,98.83232135,98.85714286,0.9307965,0.993738259,0.987554449,1,0.006109715,0.13811183
data_N_BaIoT.csv,LOF,global,StandardScaler,99.28908579,99.8454731,99.04285714,0.942237142,0.994748805,0.989861176,0.99968494,0.010505199,0.140810966
data_N_BaIoT.csv,DeepSVDD,global,StandardScaler,99.90729412,99.98949481,99.14285714,0.948405935,0.995296331,0.990636704,1,0.465182304,0.007887602
data_N_BaIoT.csv,HBOS,global,StandardScaler,99.76993865,99.95276334,99.02857143,0.94138854,0.994672516,0.989401496,1,0.014257669,0.04523015
data_N_BaIoT.csv,PCA,global,StandardScaler,99.84587677,99.96834981,99.07142857,0.944024122,0.994906355,0.989864338,1,0.009165287,0.094560623
data_N_BaIoT.csv,LODA,global,StandardScaler,99.27161736,99.84377207,98.85714286,0.9307965,0.993738259,0.987554449,1,0.014276743,0.172849894
data_N_BaIoT.csv,ECOD,global,StandardScaler,99.54642494,99.866205,9.314285714,0,0,0,0,0.005604744,0.330557108
data_N_BaIoT.csv,COPOD,global,StandardScaler,99.60093223,99.91088203,9.314285714,0,0,0,0,0.004509211,0.326612473
data_N_BaIoT.csv,AutoEncoder,global,StandardScaler,99.84662577,99.96850394,99.08571429,0.944901563,0.994984326,0.990018715,1,0.711351871,2.565446615
data_N_BaIoT.csv,DevNet,global,StandardScaler,3.575180435,76.21732871,8.328571429,-0.310033422,0.001866542,0.074074074,0.00094518,0.161425591,0.179361582
data_N_BaIoT.csv,LUNAR,global,StandardScaler,99.46319018,99.88985051,99.44285714,0.966665993,0.996937574,0.993893847,1,1.736115694,0.164350271
data_N_BaIoT.csv,AE1SVM,global,StandardScaler,99.84660161,99.96849898,99.1,0.945778463,0.995062309,0.99017314,1,3.904561281,2.493048906
