Model,scaler,cluster,AUCPR,AUCROC,best_loss,noise_percentage,scaled
ourmodel,MinMaxScaler,30.0,99.44843054174292,84.37299519261636,0.0,0.0,
DevNet,,,99.122056825491,77.60621749917863,,,Normalizer
LOF,,,98.43328022780352,69.83288205104965,,,Normalizer
AE1SVM,,,97.68513588253728,64.16078677950611,,,Normalizer
AutoEncoder,,,97.4572575636754,58.265582456259615,,,Normalizer
LODA,,,97.37114465721088,59.06111570575639,,,Normalizer
ALAD,,,97.13098448480022,52.05183892810072,,,Normalizer
OCSVM,,,97.0115223281305,60.19277117533544,,,Normalizer
HBOS,,,96.93989632652138,34.51559472962715,,,Normalizer
IForest,,,96.6057793170526,45.72361320387762,,,Normalizer
DeepSVDD,,,96.5560233218548,47.32790284024608,,,Normalizer
PCA,,,96.5040501268114,46.07302087227767,,,Normalizer
ECOD,,,96.10929754564076,33.569076400768886,,,Normalizer
LUNAR,,,95.91515461057612,32.85928112053958,,,Normalizer
CBLOF,,,95.90083021141322,41.08330406607226,,,Normalizer
COPOD,,,95.73175805840374,30.343499458083613,,,Normalizer
KNN,,,95.53810376612,28.27667191589156,,,Normalizer
ourmodel,Normalizer,50.0,98.49337141696162,75.76473653800402,1.0,0.0,
DevNet,,,99.122056825491,77.60621749917863,,,Normalizer
LOF,,,98.43328022780352,69.83288205104965,,,Normalizer
AE1SVM,,,97.68513588253728,64.16078677950611,,,Normalizer
AutoEncoder,,,97.4572575636754,58.265582456259615,,,Normalizer
LODA,,,97.37114465721088,59.06111570575639,,,Normalizer
ALAD,,,97.13098448480022,52.05183892810072,,,Normalizer
OCSVM,,,97.0115223281305,60.19277117533544,,,Normalizer
HBOS,,,96.93989632652138,34.51559472962715,,,Normalizer
IForest,,,96.6057793170526,45.72361320387762,,,Normalizer
DeepSVDD,,,96.5560233218548,47.32790284024608,,,Normalizer
PCA,,,96.5040501268114,46.07302087227767,,,Normalizer
ECOD,,,96.10929754564076,33.569076400768886,,,Normalizer
LUNAR,,,95.91515461057612,32.85928112053958,,,Normalizer
CBLOF,,,95.90083021141322,41.08330406607226,,,Normalizer
COPOD,,,95.73175805840374,30.343499458083613,,,Normalizer
KNN,,,95.53810376612,28.27667191589156,,,Normalizer
ourmodel,StandardScaler,35.0,99.16184468107444,79.12125143031939,0.0,0.0,
DevNet,,,99.122056825491,77.60621749917863,,,Normalizer
LOF,,,98.43328022780352,69.83288205104965,,,Normalizer
AE1SVM,,,97.68513588253728,64.16078677950611,,,Normalizer
AutoEncoder,,,97.4572575636754,58.265582456259615,,,Normalizer
LODA,,,97.37114465721088,59.06111570575639,,,Normalizer
ALAD,,,97.13098448480022,52.05183892810072,,,Normalizer
OCSVM,,,97.0115223281305,60.19277117533544,,,Normalizer
HBOS,,,96.93989632652138,34.51559472962715,,,Normalizer
IForest,,,96.6057793170526,45.72361320387762,,,Normalizer
DeepSVDD,,,96.5560233218548,47.32790284024608,,,Normalizer
PCA,,,96.5040501268114,46.07302087227767,,,Normalizer
ECOD,,,96.10929754564076,33.569076400768886,,,Normalizer
LUNAR,,,95.91515461057612,32.85928112053958,,,Normalizer
CBLOF,,,95.90083021141322,41.08330406607226,,,Normalizer
COPOD,,,95.73175805840374,30.343499458083613,,,Normalizer
KNN,,,95.53810376612,28.27667191589156,,,Normalizer
ourmodel,QuantileTransformer,30.0,99.3761670558411,82.55460137990416,0.0,0.0,
DevNet,,,99.122056825491,77.60621749917863,,,Normalizer
LOF,,,98.43328022780352,69.83288205104965,,,Normalizer
AE1SVM,,,97.68513588253728,64.16078677950611,,,Normalizer
AutoEncoder,,,97.4572575636754,58.265582456259615,,,Normalizer
LODA,,,97.37114465721088,59.06111570575639,,,Normalizer
ALAD,,,97.13098448480022,52.05183892810072,,,Normalizer
OCSVM,,,97.0115223281305,60.19277117533544,,,Normalizer
HBOS,,,96.93989632652138,34.51559472962715,,,Normalizer
IForest,,,96.6057793170526,45.72361320387762,,,Normalizer
DeepSVDD,,,96.5560233218548,47.32790284024608,,,Normalizer
PCA,,,96.5040501268114,46.07302087227767,,,Normalizer
ECOD,,,96.10929754564076,33.569076400768886,,,Normalizer
LUNAR,,,95.91515461057612,32.85928112053958,,,Normalizer
CBLOF,,,95.90083021141322,41.08330406607226,,,Normalizer
COPOD,,,95.73175805840374,30.343499458083613,,,Normalizer
KNN,,,95.53810376612,28.27667191589156,,,Normalizer
ourmodel,MinMaxScaler,30.0,99.35942096853512,82.62511282057092,0.0,1.0,
DevNet,,,99.1388337958822,77.60133836352581,,,Normalizer
LOF,,,98.0612677818961,63.21674955910287,,,Normalizer
LODA,,,98.0288215863552,67.39710952753201,,,Normalizer
DeepSVDD,,,97.85095941198551,57.22520118881727,,,Normalizer
PCA,,,97.79548096804332,56.06828901703543,,,Normalizer
AE1SVM,,,97.7680612230956,65.141713966337,,,Normalizer
HBOS,,,97.27421214752997,44.81443423552027,,,Normalizer
ALAD,,,97.12918607549102,52.041997575537856,,,Normalizer
OCSVM,,,97.0091528368254,60.14618902496591,,,Normalizer
IForest,,,96.89396232863396,49.277385659419714,,,Normalizer
AutoEncoder,,,96.67887134958492,40.09983157163304,,,Normalizer
ECOD,,,96.10950243540796,33.56956355905,,,Normalizer
CBLOF,,,95.89625249421124,41.00521523710258,,,Normalizer
COPOD,,,95.73179991035204,30.343197344420908,,,Normalizer
LUNAR,,,95.73146635650288,29.272355466935547,,,Normalizer
KNN,,,95.519519119238,27.09925944388427,,,Normalizer
ourmodel,Normalizer,30.0,98.26826728122695,71.76743290244372,1.0,1.0,
DevNet,,,99.1388337958822,77.60133836352581,,,Normalizer
LOF,,,98.0612677818961,63.21674955910287,,,Normalizer
LODA,,,98.0288215863552,67.39710952753201,,,Normalizer
DeepSVDD,,,97.85095941198551,57.22520118881727,,,Normalizer
PCA,,,97.79548096804332,56.06828901703543,,,Normalizer
AE1SVM,,,97.7680612230956,65.141713966337,,,Normalizer
HBOS,,,97.27421214752997,44.81443423552027,,,Normalizer
ALAD,,,97.12918607549102,52.041997575537856,,,Normalizer
OCSVM,,,97.0091528368254,60.14618902496591,,,Normalizer
IForest,,,96.89396232863396,49.277385659419714,,,Normalizer
AutoEncoder,,,96.67887134958492,40.09983157163304,,,Normalizer
ECOD,,,96.10950243540796,33.56956355905,,,Normalizer
CBLOF,,,95.89625249421124,41.00521523710258,,,Normalizer
COPOD,,,95.73179991035204,30.343197344420908,,,Normalizer
LUNAR,,,95.73146635650288,29.272355466935547,,,Normalizer
KNN,,,95.519519119238,27.09925944388427,,,Normalizer
ourmodel,StandardScaler,30.0,99.17795897418044,82.23113961049997,0.0,1.0,
DevNet,,,99.1388337958822,77.60133836352581,,,Normalizer
LOF,,,98.0612677818961,63.21674955910287,,,Normalizer
LODA,,,98.0288215863552,67.39710952753201,,,Normalizer
DeepSVDD,,,97.85095941198551,57.22520118881727,,,Normalizer
PCA,,,97.79548096804332,56.06828901703543,,,Normalizer
AE1SVM,,,97.7680612230956,65.141713966337,,,Normalizer
HBOS,,,97.27421214752997,44.81443423552027,,,Normalizer
ALAD,,,97.12918607549102,52.041997575537856,,,Normalizer
OCSVM,,,97.0091528368254,60.14618902496591,,,Normalizer
IForest,,,96.89396232863396,49.277385659419714,,,Normalizer
AutoEncoder,,,96.67887134958492,40.09983157163304,,,Normalizer
ECOD,,,96.10950243540796,33.56956355905,,,Normalizer
CBLOF,,,95.89625249421124,41.00521523710258,,,Normalizer
COPOD,,,95.73179991035204,30.343197344420908,,,Normalizer
LUNAR,,,95.73146635650288,29.272355466935547,,,Normalizer
KNN,,,95.519519119238,27.09925944388427,,,Normalizer
ourmodel,QuantileTransformer,30.0,99.3741714508146,82.13373061279981,0.0,1.0,
DevNet,,,99.1388337958822,77.60133836352581,,,Normalizer
LOF,,,98.0612677818961,63.21674955910287,,,Normalizer
LODA,,,98.0288215863552,67.39710952753201,,,Normalizer
DeepSVDD,,,97.85095941198551,57.22520118881727,,,Normalizer
PCA,,,97.79548096804332,56.06828901703543,,,Normalizer
AE1SVM,,,97.7680612230956,65.141713966337,,,Normalizer
HBOS,,,97.27421214752997,44.81443423552027,,,Normalizer
ALAD,,,97.12918607549102,52.041997575537856,,,Normalizer
OCSVM,,,97.0091528368254,60.14618902496591,,,Normalizer
IForest,,,96.89396232863396,49.277385659419714,,,Normalizer
AutoEncoder,,,96.67887134958492,40.09983157163304,,,Normalizer
ECOD,,,96.10950243540796,33.56956355905,,,Normalizer
CBLOF,,,95.89625249421124,41.00521523710258,,,Normalizer
COPOD,,,95.73179991035204,30.343197344420908,,,Normalizer
LUNAR,,,95.73146635650288,29.272355466935547,,,Normalizer
KNN,,,95.519519119238,27.09925944388427,,,Normalizer
ourmodel,MinMaxScaler,140.0,99.27425709105457,80.61801314949717,0.0,2.0,
DevNet,,,99.14171374846607,77.67509563785634,,,Normalizer
DeepSVDD,,,98.0206140855282,59.14476909075117,,,Normalizer
PCA,,,97.98036980448298,58.15242389568016,,,Normalizer
LOF,,,97.680365888221,54.70001246218858,,,Normalizer
AE1SVM,,,97.55669558568216,60.76189289315372,,,Normalizer
HBOS,,,97.350353647488,46.78773682878841,,,Normalizer
ALAD,,,97.16195897971984,51.52126691364458,,,Normalizer
