Model,scaler,cluster,AUCPR,AUCROC,best_loss,noise_percentage,scaled
ourmodel,MinMaxScaler,30.0,99.80708905511852,98.52515259133868,0.0,0.0,
LODA,,,98.01315408448212,86.35639761137475,,,Normalizer
LOF,,,97.58160401856416,83.80806839901618,,,Normalizer
OCSVM,,,97.41164983233335,80.5619036267318,,,Normalizer
AE1SVM,,,97.23007809763718,79.70079398801606,,,Normalizer
PCA,,,95.867629982832,69.65445746986795,,,Normalizer
DeepSVDD,,,95.3613484675492,65.20629062098645,,,Normalizer
CBLOF,,,95.08365839405386,60.27724669185832,,,Normalizer
AutoEncoder,,,94.3306777047679,58.61101843681501,,,Normalizer
LUNAR,,,94.109931844967,56.836896278140415,,,Normalizer
DevNet,,,94.05570728597668,78.54116926080683,,,Normalizer
IForest,,,89.99462269125453,33.31373708965168,,,Normalizer
HBOS,,,89.57690055034895,31.58286107236428,,,Normalizer
ALAD,,,86.82395419033752,38.945213522995495,,,Normalizer
KNN,,,78.77651295540392,17.728155692061566,,,Normalizer
ECOD,,,77.7293573345134,6.600445252356439,,,Normalizer
COPOD,,,75.82256145801618,1.4226915431248237,,,Normalizer
ourmodel,Normalizer,40.0,90.81118093418934,55.32631005471546,10.0,0.0,
LODA,,,98.01315408448212,86.35639761137475,,,Normalizer
LOF,,,97.58160401856416,83.80806839901618,,,Normalizer
OCSVM,,,97.41164983233335,80.5619036267318,,,Normalizer
AE1SVM,,,97.23007809763718,79.70079398801606,,,Normalizer
PCA,,,95.867629982832,69.65445746986795,,,Normalizer
DeepSVDD,,,95.3613484675492,65.20629062098645,,,Normalizer
CBLOF,,,95.08365839405386,60.27724669185832,,,Normalizer
AutoEncoder,,,94.3306777047679,58.61101843681501,,,Normalizer
LUNAR,,,94.109931844967,56.836896278140415,,,Normalizer
DevNet,,,94.05570728597668,78.54116926080683,,,Normalizer
IForest,,,89.99462269125453,33.31373708965168,,,Normalizer
HBOS,,,89.57690055034895,31.58286107236428,,,Normalizer
ALAD,,,86.82395419033752,38.945213522995495,,,Normalizer
KNN,,,78.77651295540392,17.728155692061566,,,Normalizer
ECOD,,,77.7293573345134,6.600445252356439,,,Normalizer
COPOD,,,75.82256145801618,1.4226915431248237,,,Normalizer
ourmodel,StandardScaler,35.0,98.53173593362176,86.98277325776024,0.0,0.0,
LODA,,,98.01315408448212,86.35639761137475,,,Normalizer
LOF,,,97.58160401856416,83.80806839901618,,,Normalizer
OCSVM,,,97.41164983233335,80.5619036267318,,,Normalizer
AE1SVM,,,97.23007809763718,79.70079398801606,,,Normalizer
PCA,,,95.867629982832,69.65445746986795,,,Normalizer
DeepSVDD,,,95.3613484675492,65.20629062098645,,,Normalizer
CBLOF,,,95.08365839405386,60.27724669185832,,,Normalizer
AutoEncoder,,,94.3306777047679,58.61101843681501,,,Normalizer
LUNAR,,,94.109931844967,56.836896278140415,,,Normalizer
DevNet,,,94.05570728597668,78.54116926080683,,,Normalizer
IForest,,,89.99462269125453,33.31373708965168,,,Normalizer
HBOS,,,89.57690055034895,31.58286107236428,,,Normalizer
