Model,data_BoTIoT.csv,data_CICIoT2023.csv,data_N_BaIoT.csv
ourmodel,99.99984591397948,99.99954760621502,100.0
KNN,99.92927864,98.81161132,99.59218594
MO_GAAL,99.8502994,66.51720325,67.76278704
LOF,99.78783593,95.16841328,99.28908579
AE1SVM,99.78783593,99.33074211,99.84660161
CBLOF,99.71711457,98.39704797,99.57515241
OCSVM,99.71711457,63.94909389,94.24846626
VAE,99.7005988,98.86044941,99.84544049
PCA,99.64639321,99.0995654,99.84587677
SO_GAAL,99.6257485,65.10474402,73.03850169
DeepSVDD,99.57567185,97.21170972,99.90729412
IForest,99.49570154,99.33146371,99.95846719
ECOD,99.33241196,99.90881509,99.54642494
HBOS,99.15111894,97.09661337,99.76993865
AutoEncoder,98.93917963,98.44388684,99.84662577
LODA,98.69276183,81.23860599,99.27161736
COPOD,98.09601877,99.19416154,99.60093223
ALAD,50.35978774,53.70519065,25.29422097
DevNet,0.282997812,25.69341533,3.575180435
