Model,data_BoTIoT.csv_AUCROC,data_BoTIoT.csv_AUCPR,data_BoTIoT.csv_Accuracy,data_BoTIoT.csv_MCC,data_BoTIoT.csv_F1 Score,data_CICIoT2023.csv_AUCROC,data_CICIoT2023.csv_AUCPR,data_CICIoT2023.csv_Accuracy,data_CICIoT2023.csv_MCC,data_CICIoT2023.csv_F1 Score,data_N_BaIoT.csv_AUCROC,data_N_BaIoT.csv_AUCPR,data_N_BaIoT.csv_Accuracy,data_N_BaIoT.csv_MCC,data_N_BaIoT.csv_F1 Score,data_ToNIoT.csv_AUCROC,data_ToNIoT.csv_AUCPR,data_ToNIoT.csv_Accuracy,data_ToNIoT.csv_MCC,data_ToNIoT.csv_F1 Score
ourmodel,100.0,100.0,99.57142857142856,0.9750139494653516,0.997636306334699,100.0,100.0,99.97142857142856,0.9950572941823888,0.9998527679623086,100.0,100.0,99.97142857142856,0.9982631613292374,0.999842940160201,100.0,100.0,99.27142857142856,0.9616701433735092,0.9959339870844296
AE1SVM,99.93055556,99.98407897,98.65714286,0.925251434,0.992575039,99.09502262,99.94102904,99.48571429,0.912514164,0.997351773,99.62852897,99.92103601,98.98571429,0.940518869,0.994420432,99.34401865526624,99.90540600465228,98.7,0.9326652952168856,0.9927438003349016
ALAD,65.40285518,94.60250558,35.4,0.111906408,0.45054678,82.91176037,99.35255025,73.34285714,0.236865023,0.841083291,86.23112438,98.40065384,73.9,0.372067263,0.833954376,70.84656561730795,95.325633625562,44.3,0.1888399103850949,0.5519935654372056
AutoEncoder,99.86111111,99.96816301,98.8,0.933379766,0.993359684,98.19004525,99.8821276,99.45714286,0.907435108,0.99720506,99.85141159,99.96839943,98.97142857,0.939663951,0.994342291,99.61706956859696,99.92928282895544,98.5142857142857,0.922810524382238,0.9917157877967182
CBLOF,99.93055556,99.98407897,98.6,0.921987226,0.992261529,98.86877828,99.92629717,99.51428571,0.917568063,0.997498529,99.47994056,99.88948532,99.02857143,0.943080572,0.994654928,99.95899987044952,99.994418335649,98.64285714285714,0.9296398754791284,0.9924272618573136
COPOD,27.9964172,84.10432419,22.17142857,0.091855179,0.240167364,4.500523643,90.66108162,13.67142857,-0.401399452,0.240542918,11.5189014,81.53248177,13.05714286,-0.260553079,0.133542141,50.70302370773416,88.75365406860716,20.34285714285714,-0.0305351822546923,0.2164137155705452
DeepSVDD,99.93055556,99.98407897,98.98571429,0.943879613,0.994381578,99.54751131,99.97050583,99.42857143,0.902330469,0.997058391,99.92570579,99.98419722,98.95714286,0.938808522,0.994264163,98.85453556160124,99.78759251318216,98.68571428571428,0.9318698081214054,0.9926623065879724
DevNet,0.069444444,89.71428571,9.5,-0.256091827,0.0,0.678733032,96.84285714,2.771428571,-0.344634483,0.0,0.520059435,90.38571429,8.542857143,-0.319089217,0.0,7.126373882627282,80.47138902039438,9.571428571428571,-0.3497408336592569,0.0
ECOD,28.77222665,83.50204124,15.44285714,-0.137300676,0.149202242,2.128212026,89.53460292,16.2,-0.368532375,0.278829604,6.768910147,79.30542702,8.371428571,-0.579709009,0.108671484,50.469003756963325,87.85334024350867,18.2,-0.0576557786228579,0.1780074648291702
HBOS,96.61866375,98.98912572,36.97142857,0.123446408,0.470729367,95.70135747,99.72050603,99.51428571,0.917568063,0.997498529,96.47527014,99.05424698,98.8,0.929364639,0.993405558,78.62600855033035,96.90011913028232,63.957142857142856,0.3188920955474711,0.7498264749628161
