Model,data_BoTIoT.csv_AUCROC,data_BoTIoT.csv_AUCPR,data_BoTIoT.csv_Accuracy,data_BoTIoT.csv_MCC,data_BoTIoT.csv_F1 Score,data_CICIoT2023.csv_AUCROC,data_CICIoT2023.csv_AUCPR,data_CICIoT2023.csv_Accuracy,data_CICIoT2023.csv_MCC,data_CICIoT2023.csv_F1 Score,data_N_BaIoT.csv_AUCROC,data_N_BaIoT.csv_AUCPR,data_N_BaIoT.csv_Accuracy,data_N_BaIoT.csv_MCC,data_N_BaIoT.csv_F1 Score,data_ToNIoT.csv_AUCROC,data_ToNIoT.csv_AUCPR,data_ToNIoT.csv_Accuracy,data_ToNIoT.csv_MCC,data_ToNIoT.csv_F1 Score
ourmodel,85.83134343918846,97.95074960861764,90.60293886942424,0.0221262439928629,0.9506982358912454,93.13826266261609,99.75016773534662,96.9652816158368,0.0907752858800342,0.984592622825366,75.74327454103995,96.9264594372162,90.33378961777404,0.0071222786464753,0.94921442797079,81.58300714088227,96.78992143215528,11.745413549246694,0.0162791871337895,0.0078350040327226
AE1SVM,76.9211325622332,95.48269227075215,45.319853582011504,0.023232556192506,0.5741359181124596,84.79740760670778,99.42332327241208,59.614804890303134,0.0146914531168147,0.7379311843849848,64.30563933335705,90.22678648933966,8.61324628830157,-0.2689765767987424,0.0032158033765935,56.57288942286809,88.59638070606576,12.332684226709029,0.0068817427184798,0.008226754234358731
ALAD,49.17561769967004,90.50626248336285,21.760502004531983,-0.0101569678373137,0.2541623741318002,38.1697571186628,95.61854483502192,6.431083570591191,-0.0025060577707334,0.0734967331100129,40.04859951677174,87.38941842999911,12.439015829560212,-0.0732866741516487,0.0838077050203826,47.79351703707869,87.18613402838564,12.332684226709029,-0.0762969734302592,0.008226754234358731
AutoEncoder,74.55418867010168,95.25343731877427,59.49450932543141,0.023232556192506,0.7157013873596124,87.93931772982624,99.5500996529416,70.17919946407638,0.0117418826406424,0.8188716863670579,21.89884741272444,81.038719925052,8.434242392334422,-0.3000309234130346,0.0003065603923973,41.375058328877,86.84681768821618,12.332684226709029,0.0170931464904789,0.008226754234358731
CBLOF,58.77557137664893,90.98533976377011,35.64580791354366,-0.0116892603838998,0.4579197744758325,84.15639887127784,99.35275049745248,59.64495059454028,-0.0113625259587792,0.7381894041462037,59.85648977588056,95.14317545711695,51.7391456951318,0.007478392578799,0.641964378710551,50.69840100023774,86.30034276044952,12.332684226709029,-0.1289499898466713,0.008226754234358731
COPOD,40.662547481096645,84.76354656189997,7.341816280285863,-0.4666356972738827,0.007616771832879,22.104188073745817,93.54435838491966,10.624685982247527,-0.0039152187547253,0.1676388932214492,1.550268012308013,76.22961884087954,4.197816854445263,-0.7254134523407152,0.0020474571313663,24.53338926056557,80.35794563238484,12.332684226709029,-0.1867462858419645,0.008226754234358731
DeepSVDD,90.12291061114789,102.84828708904853,82.88303991633258,0.023232556192506,0.8966446343619753,80.71355597385636,99.21084023996151,48.66186568414001,0.0615258891818127,0.6415659128645261,61.35251697725981,94.4282109599497,51.74967533607104,0.007478392578799,0.6416786133194318,48.50427772133386,86.49828375596714,12.332684226709029,-0.1269863096112213,0.008226754234358731
DevNet,40.36314469173811,87.45224194427514,21.97664284469235,-0.1474480409440569,0.2567661807192906,78.01889744051896,98.78086021937835,45.422877239993305,0.0953140501740359,0.6100607859091562,79.53043826809196,94.13308914657937,16.738619213084835,-0.008084444224656,0.1664792691496837,53.77860503099969,87.69957347893791,12.332684226709029,0.0170931464904789,0.008226754234358731
ECOD,42.27107804360065,84.45939163655427,7.906571378769392,-0.3827159629183919,0.0176267152578929,28.434049432154502,94.26271714327044,8.879584659186065,0.024203710924766,0.1306959800600754,6.594038151357781,77.8773611893538,8.262258256993436,-0.483741161442675,0.0711468069227762,19.5830632046214,78.74116819632081,12.332684226709029,-0.2380471917311145,0.008226754234358731
HBOS,80.56287530555377,96.0569936225052,35.551682063796406,0.023232556192506,0.4567280848687884,76.90860745319397,98.85215549617,51.01992966002344,0.0297317879643005,0.6636148236755538,29.716180013057475,89.51151352892278,8.332455863255063,-0.3167121062611694,0.0,42.17989995459856,83.4314223416461,10.925116151954086,-0.0751078332160825,0.0068560981183819
IForest,68.73426121907939,91.97983641768226,29.600836674219977,-0.0388600023536699,0.3753016147992328,85.34683627295989,99.33904529644074,60.8038854463239,0.01077573951422,0.747529665587918,29.73004650000835,84.73149641797863,8.416692990769015,-0.3032884710271789,0.0,58.54066782125851,89.38862610182312,12.332684226709029,0.0170931464904789,0.008226754234358731
KNN,67.41186867067182,89.76080929461841,64.25309395154261,-0.3208191649457727,0.7571408270569845,75.99368840788983,99.1268385205677,62.65952101825489,0.0115413252602579,0.7624243457505754,12.433419584324929,78.05513271994701,8.434242392334422,-0.3004193571215182,0.0,85.66215749792639,95.44582303103594,12.332684226709029,0.0170931464904789,0.008226754234358731
LODA,50.016421867316616,91.21907062745372,45.74516297716576,0.0160094008917685,0.5784555377989653,81.36427432023716,99.1268154409971,42.341316362418354,0.004439759215723,0.5783362727807173,79.53043826809196,101.772782409077,55.01737390754975,0.007478392578799,0.6738765331569038,60.6343793690334,90.92246759609591,12.332684226709029,0.0170931464904789,0.008226754234358731
LOF,60.309315915877406,94.25502683356122,34.93463482656441,0.023232556192506,0.4485285427254462,79.9000224398194,99.17296939377565,53.5253726343996,0.0652118423169235,0.686036250084855,51.102403868150006,91.9640375717362,22.39654627777193,0.007478392578799,0.2658875091307524,74.7031265179251,94.65934389281834,12.332684226709029,0.0170931464904789,0.008226754234358731
MO_GAAL,39.8238064695444,87.15691273237836,26.184416942652955,-0.1451965666160987,0.3217374591581779,24.192047671468163,94.63615772029962,7.184726176519845,-0.048072376743661,0.0881869035867061,79.53043826809196,101.772782409077,43.066231441507846,0.007478392578799,0.543674571693814,77.88057913793482,95.1797910627764,12.332684226709029,-0.0757842276004884,0.008226754234358731
OCSVM,49.15520207527134,90.45115013097418,30.315495903782463,0.0103501687501936,0.385992935033021,76.80521907113254,99.0356315000352,52.44012728186234,-0.0154161258507329,0.6762432450920035,79.53043826809196,101.772782409077,51.78477413920185,0.007478392578799,0.642498373454782,48.109448223693065,87.81266056078863,12.332684226709029,-0.1276914519303043,0.008226754234358731
