Model,data_BoTIoT.csv_AUCROC,data_BoTIoT.csv_AUCPR,data_BoTIoT.csv_Accuracy,data_BoTIoT.csv_MCC,data_BoTIoT.csv_F1 Score,data_CICIoT2023.csv_AUCROC,data_CICIoT2023.csv_AUCPR,data_CICIoT2023.csv_Accuracy,data_CICIoT2023.csv_MCC,data_CICIoT2023.csv_F1 Score,data_N_BaIoT.csv_AUCROC,data_N_BaIoT.csv_AUCPR,data_N_BaIoT.csv_Accuracy,data_N_BaIoT.csv_MCC,data_N_BaIoT.csv_F1 Score,data_ToNIoT.csv_AUCROC,data_ToNIoT.csv_AUCPR,data_ToNIoT.csv_Accuracy,data_ToNIoT.csv_MCC,data_ToNIoT.csv_F1 Score
ourmodel,100.0,100.0,99.81428571428572,0.9892047047532444,0.998974358974359,100.0,100.0,99.74285714285716,0.9555476830648651,0.9986756915832844,100.0,100.0,99.75714285714284,0.985457379211382,0.9986638371453274,100.0,100.0,99.11428571428571,0.9552045638056484,0.9950264720038504
AE1SVM,99.3827574,99.85634794,98.58571429,0.922566028,0.992165862,99.56418898,99.97018432,99.57142857,0.928895014,0.997790869,98.75366569,99.73164957,98.7,0.924264405,0.992849847,99.61542412980418,99.90351895396812,98.5,0.9225972989515908,0.9916287969385316
ALAD,52.83638969,90.76298559,21.57142857,0.041586888,0.235162998,48.88999704,96.58616427,17.27142857,0.027431583,0.257659274,57.8871961,92.91187246,29.2,0.085636835,0.366888094,49.9814701920244,89.33075276183101,19.7,0.0170637460149148,0.1922690041672654
AutoEncoder,99.45243341,99.87248714,98.77142857,0.932958931,0.993187579,99.35293878,99.95566941,99.64285714,0.941074341,0.998158379,99.26686217,99.84197219,98.25714286,0.897529441,0.990437373,99.61229465112386,99.90278301214116,98.11428571428571,0.9020613047111624,0.9894988066825776
CBLOF,99.59506957,99.91197791,98.87142857,0.938506233,0.993737614,99.69315542,99.98850609,98.3,0.769406134,0.991172762,99.51265713,99.89758743,98.57142857,0.916556537,0.992148241,99.68513738514348,99.92338411132788,98.35714285714286,0.9150247612045824,0.9908388433043894
COPOD,99.76493894,99.96718977,11.08571429,0.02746738,0.014254039,99.72671853,99.98662073,6.657142857,0.034411524,0.068700114,99.8051464,99.97004823,9.914285714,0.013614966,0.003791469,99.94099285593548,99.9921582658796,20.42857142857143,0.1132834666311975,0.1889924286546301
DeepSVDD,97.51889686,99.604648,95.01428571,0.764929204,0.971766038,98.64040719,99.92721134,88.24285714,0.405478058,0.935496512,98.60448525,99.71893807,98.71428571,0.925095491,0.992926753,99.68445795885106,99.92225014570106,98.15714285714286,0.904357407697647,0.989735020291239
DevNet,18.28661389,78.83868483,10.72857143,-0.215731383,0.039354343,54.28630294,96.93889777,13.77142857,0.003324013,0.201798466,1.977220974,75.20428376,8.742857143,-0.305900387,0.0,25.38542515306136,80.61300530018573,11.742857142857142,-0.1495361318786147,0.0361934477379095
ECOD,99.81731051,99.97767994,11.35714286,0.032801598,0.02021159,99.88128719,99.99534605,7.971428571,0.040728039,0.093697243,99.62185034,99.90182534,9.885714286,0.012426928,0.003160556,99.7987045193584,99.97335392577592,18.228571428571428,0.097756172158749,0.1474530831099195
HBOS,99.79356873,99.95195984,98.82857143,0.936142018,0.993502377,97.62931034,99.83773418,99.45714286,0.909106995,0.997203415,99.13012117,99.82049388,98.27142857,0.898400203,0.990515011,99.9359795134443,99.983922829582,98.5142857142857,0.9233524479418476,0.9917078615850742
