scaler,nCluster,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
MinMaxScaler,1,0,92.00508411022359,99.73792266253218,84.27064143359571,0.3664047681271261,0.9117558628983764,0.9999175665649987,0.8378807764039511,3.4543018341064453,0.21750974655151367
MinMaxScaler,4,0,93.06172974284979,99.77002536515423,86.0425389382013,0.3871188312198164,0.9224816296158497,0.9997177533163986,0.8563238239966844,3.8561863899230957,0.32075953483581543
MinMaxScaler,7,0,93.84612102767473,99.79772691148924,86.29710266287054,0.3893783436281083,0.9240113676467857,0.9995981191978459,0.859052289839055,6.633852481842041,0.35579609870910645
MinMaxScaler,10,0,93.39534860186585,99.78311894057246,86.30380170825657,0.3899038566296493,0.9240485168192879,0.9996383072780614,0.8590868273813635,6.450502157211304,0.3689005374908447
MinMaxScaler,13,0,93.99910777376829,99.80481504280947,86.79283202143695,0.3943428998562806,0.9269747198814705,0.9994009823888822,0.864336533812254,5.910373210906982,0.3133232593536377
MinMaxScaler,16,0,94.0957975592499,99.80810314757294,86.19326745938703,0.38835229933526766,0.9233885956434466,0.9996378269617706,0.8579470884851834,7.389676570892334,0.17455244064331055
MinMaxScaler,19,0,94.25072967745461,99.81284655608718,85.65399430581142,0.38141032553223525,0.9201543595384127,0.9996759428039049,0.8523520066312081,7.637756109237671,0.3211843967437744
MinMaxScaler,22,0,93.75809629373455,99.79732172320465,85.59370289733714,0.3810335617235035,0.9197888886816732,0.9997162200510804,0.8516957933273468,5.854526042938232,0.21832799911499023
MinMaxScaler,25,0,93.89020910124421,99.80161856369511,86.38084073019596,0.39056231817830117,0.9245107868255913,0.9995985225630319,0.8599157283967673,9.296032190322876,0.24502992630004883
MinMaxScaler,28,0,94.08172954812092,99.807498910215,85.39608105844917,0.3797025899930506,0.9185898872208529,0.9998374115925535,0.8495544657042204,8.965695142745972,0.1862010955810547
MinMaxScaler,31,0,94.21820075580868,99.8122376210371,85.61714955618824,0.38220103898726976,0.9199239146650754,0.9997973246858533,0.8518684810388892,2.3008978366851807,0.24173760414123535
MinMaxScaler,34,0,93.94114526796955,99.80329551330695,86.0827332105175,0.38767475442168503,0.9227221157959343,0.9997178898158223,0.8567382745043862,6.235291242599487,0.18027353286743164
MinMaxScaler,37,0,94.30307264529286,99.81475010211676,85.55015910232791,0.38173633261900014,0.9195179284355062,0.9998377150275884,0.851143192650411,8.682590246200562,0.21221041679382324
MinMaxScaler,40,0,94.43375565221639,99.81909304697807,86.58851113716295,0.3922369802938437,0.9257556091229372,0.9994795003203075,0.8621606686468191,8.291069269180298,0.29462242126464844
MinMaxScaler,43,0,93.97183806500217,99.8042208863211,86.26025791324736,0.38929092407683075,0.9237886444708681,0.9996381182147165,0.8586378393313532,7.70848822593689,0.370119571685791
MinMaxScaler,46,0,94.31258292747569,99.81530294681562,86.70909395411154,0.39268484134524834,0.9264803972430149,0.9993604604684627,0.8635076327968502,7.63216495513916,0.3284780979156494
MinMaxScaler,49,0,94.25754902126891,99.81496537056488,85.25540110534249,0.3782928306553182,0.9177380774405741,0.9998778402150013,0.8480693513849554,6.148128271102905,0.36742591857910156
MinMaxScaler,52,0,94.34099877665803,99.81761070252274,85.70423714620667,0.383367510442565,0.9204473438956198,0.9997975380628442,0.85276645713891,7.486055374145508,0.36719799041748047
MinMaxScaler,55,0,94.08509513770437,99.80945795890226,85.74778094121588,0.3835257619079414,0.9207118233485512,0.999757193152847,0.8532499827312289,7.4594926834106445,0.21458911895751953
MinMaxScaler,58,0,94.4612515224693,99.82152731323336,86.71914252219058,0.39326502893480514,0.9265373427454467,0.9994004556537032,0.8635767078814671,7.748401641845703,0.22590017318725586
MinMaxScaler,61,0,94.3505627242784,99.81783273983407,85.93535421202478,0.3852161831920533,0.9218427175430433,0.9996770417019902,0.8552531601851212,9.124573230743408,0.3640024662017822
MinMaxScaler,64,0,94.31259826045783,99.81675889236728,86.87322056606934,0.3959610553697388,0.9274487661291816,0.9994414076527152,0.8651308972853492,8.914034366607666,0.3295931816101074
MinMaxScaler,67,0,94.39512612029476,99.81938902310303,86.09948082398257,0.3870469906196505,0.9228280273728057,0.9996374184191443,0.8569800373005457,6.298574686050415,0.22278976440429688
MinMaxScaler,70,0,94.34444294777502,99.81774458323807,86.08943225590353,0.3869077375910563,0.922767931861715,0.9996373745920464,0.8568764246736202,7.900098085403442,0.2758829593658447
MinMaxScaler,73,0,94.34738879697191,99.81778216382628,86.33059788980071,0.3898509328391068,0.9242111909669991,0.9995982806411441,0.8593976652621399,6.970883369445801,0.2566945552825928
MinMaxScaler,76,0,94.49852216884726,99.82277298896132,86.68899681795345,0.3928260577014551,0.9263583129493737,0.9994002399040384,0.8632658700006908,8.966897010803223,0.3549785614013672
MinMaxScaler,79,0,94.28531705195512,99.81595390266132,85.96215039356892,0.3860124936065987,0.9220003350021403,0.9997174799208943,0.8554949229812806,7.719426393508911,0.23748397827148438
MinMaxScaler,82,0,94.41047251881109,99.82005393404714,87.14453190420365,0.3978398944961703,0.9290677903452355,0.9992446529379025,0.8681011259238792,7.0629589557647705,0.23217225074768066
MinMaxScaler,85,0,94.36668535501641,99.81867644784448,86.2870540947915,0.38923682580943764,0.9239514061745365,0.9995980707395499,0.8589486772121295,6.206659555435181,0.23698711395263672
MinMaxScaler,88,0,94.75401565052822,99.83097586326683,86.45787975213533,0.39209081335176554,0.9249670582558507,0.9996389746881142,0.860675554327554,6.880245685577393,0.382861852645874
MinMaxScaler,91,0,94.48782358054726,99.8223289282305,86.65550159102328,0.39277300788448183,0.9261565836298933,0.9994399551964157,0.8628859570352974,7.888176202774048,0.37026381492614746
MinMaxScaler,94,0,94.4347695456615,99.82043725155827,85.57360576117902,0.3816208555215174,0.9196620096621962,0.9997972178286085,0.8514194929888789,5.7345030307769775,0.21319961547851562
MinMaxScaler,97,0,94.30277748538633,99.81627504530036,86.32054932172166,0.3892777198658724,0.9241540690116258,0.9995580909529166,0.8593285901775229,5.405939817428589,0.21294450759887695
MinMaxScaler,100,0,94.54173817905657,99.82412015408109,85.71428571428571,0.38307472251516844,0.9205106700214333,0.9997570948544593,0.852904607308144,6.85597562789917,0.41800522804260254
MinMaxScaler,103,0,94.7608426608336,99.83125271980113,86.45118070674928,0.39199513516988305,0.9249271542844416,0.9996389457215068,0.8606064792429371,6.352061033248901,0.21898913383483887
MinMaxScaler,106,0,94.49400660560205,99.82283994024989,86.38753977558198,0.39022578492506377,0.9245535217020012,0.9995584457289659,0.8600193410236927,7.406236410140991,0.3539090156555176
MinMaxScaler,109,0,94.53554748751071,99.82379918075507,86.32724836710769,0.3893722859256617,0.9241940276333382,0.9995581264561741,0.8593976652621399,7.3332953453063965,0.3051488399505615
MinMaxScaler,112,0,94.61052193701256,99.82627652512468,86.00569418857813,0.38532207644273614,0.9222697674418605,0.9995967091466366,0.8560475236582165,6.608439683914185,0.30301880836486816
MinMaxScaler,115,0,94.6180274317784,99.82656256147403,87.4627365600402,0.40096656663549424,0.9309549722381066,0.9990893613651661,0.8715203426124197,6.8777220249176025,0.22583961486816406
MinMaxScaler,118,0,94.47769997907814,99.82214200214996,86.28035504940546,0.38914254682720295,0.9239114281468271,0.9995980384275264,0.8588796021275126,6.701441287994385,0.22542381286621094
