Dataset,scaled,Model,AUCROC
data_ToNIoT.csv,QuantileTransformer,LUNAR,81.95772483405221
data_ToNIoT.csv,QuantileTransformer,DASVDD,59.18788179618155
data_ToNIoT.csv,QuantileTransformer,SUOD,48.66773375393208
data_ToNIoT.csv,QuantileTransformer,NeuTraLAD,67.17757040423872
data_ToNIoT.csv,QuantileTransformer,DIF,42.44747382117091
data_ToNIoT.csv,MinMaxScaler,LUNAR,80.10506317181844
data_ToNIoT.csv,MinMaxScaler,DASVDD,54.30748505708345
data_ToNIoT.csv,MinMaxScaler,SUOD,27.54803019169361
data_ToNIoT.csv,MinMaxScaler,NeuTraLAD,49.38662082904597
data_ToNIoT.csv,MinMaxScaler,DIF,37.96853250583379
data_ToNIoT.csv,Normalizer,LUNAR,80.5911889646541
data_ToNIoT.csv,Normalizer,DASVDD,31.890501310225638
data_ToNIoT.csv,Normalizer,SUOD,43.34813566580352
data_ToNIoT.csv,Normalizer,NeuTraLAD,74.46315804841174
data_ToNIoT.csv,Normalizer,DIF,59.33364090607524
data_ToNIoT.csv,RobustScaler,LUNAR,80.13945896035186
data_ToNIoT.csv,RobustScaler,DASVDD,72.82998103376524
data_ToNIoT.csv,RobustScaler,SUOD,28.20427849634869
data_ToNIoT.csv,RobustScaler,NeuTraLAD,80.6364935373677
data_ToNIoT.csv,RobustScaler,DIF,72.0660800164952
data_N_BaIoT.csv,QuantileTransformer,LUNAR,33.664475071922645
data_N_BaIoT.csv,QuantileTransformer,DASVDD,38.69649855396175
data_N_BaIoT.csv,QuantileTransformer,SUOD,97.74036575008876
data_N_BaIoT.csv,QuantileTransformer,NeuTraLAD,73.99489619828914
data_N_BaIoT.csv,QuantileTransformer,DIF,25.066646419505428
data_N_BaIoT.csv,MinMaxScaler,LUNAR,73.64821432850952
data_N_BaIoT.csv,MinMaxScaler,DASVDD,92.9562814227274
data_N_BaIoT.csv,MinMaxScaler,SUOD,81.01062535721054
data_N_BaIoT.csv,MinMaxScaler,NeuTraLAD,80.86637656509966
data_N_BaIoT.csv,MinMaxScaler,DIF,44.70548421229218
data_N_BaIoT.csv,Normalizer,LUNAR,11.766875407138327
data_N_BaIoT.csv,Normalizer,DASVDD,92.63617574287086
data_N_BaIoT.csv,Normalizer,SUOD,8.651999398688007
data_N_BaIoT.csv,Normalizer,NeuTraLAD,60.83593623478474
data_N_BaIoT.csv,Normalizer,DIF,6.474780844291421
data_N_BaIoT.csv,RobustScaler,LUNAR,73.79751690100649
data_N_BaIoT.csv,RobustScaler,SUOD,82.73812790080385
data_N_BaIoT.csv,RobustScaler,NeuTraLAD,77.41548116942111
data_N_BaIoT.csv,RobustScaler,DIF,55.87832364673937
data_CICIoT2023.csv,QuantileTransformer,LUNAR,80.17597395294322
data_CICIoT2023.csv,QuantileTransformer,DASVDD,88.17651896379401
data_CICIoT2023.csv,QuantileTransformer,SUOD,90.08640288775251
data_CICIoT2023.csv,QuantileTransformer,NeuTraLAD,91.16101877546664
data_CICIoT2023.csv,QuantileTransformer,DIF,87.08616760314133
data_CICIoT2023.csv,MinMaxScaler,LUNAR,57.91553704114997
data_CICIoT2023.csv,MinMaxScaler,DASVDD,78.87765943867333
data_CICIoT2023.csv,MinMaxScaler,SUOD,61.94716262015213
data_CICIoT2023.csv,MinMaxScaler,NeuTraLAD,85.7928516410546
data_CICIoT2023.csv,MinMaxScaler,DIF,81.21349744019696
data_CICIoT2023.csv,Normalizer,LUNAR,27.246952703959906
data_CICIoT2023.csv,Normalizer,DASVDD,48.7907298629837
data_CICIoT2023.csv,Normalizer,SUOD,46.34597018946276
data_CICIoT2023.csv,Normalizer,NeuTraLAD,37.49306278388537
data_CICIoT2023.csv,Normalizer,DIF,32.83351516972423
data_CICIoT2023.csv,RobustScaler,LUNAR,56.95117104501251
data_CICIoT2023.csv,RobustScaler,DASVDD,17.170022915908483
data_CICIoT2023.csv,RobustScaler,SUOD,63.28593320784309
data_CICIoT2023.csv,RobustScaler,NeuTraLAD,87.90349605026213
data_CICIoT2023.csv,RobustScaler,DIF,77.67590629615945
data_BoTIoT.csv,QuantileTransformer,LUNAR,93.68031414134936
data_BoTIoT.csv,QuantileTransformer,DASVDD,96.53860275515078
data_BoTIoT.csv,QuantileTransformer,SUOD,80.95660744446583
data_BoTIoT.csv,QuantileTransformer,NeuTraLAD,95.00878355746548
data_BoTIoT.csv,QuantileTransformer,DIF,84.74849735246117
data_BoTIoT.csv,MinMaxScaler,LUNAR,87.11074551557523
data_BoTIoT.csv,MinMaxScaler,DASVDD,84.66912392477141
data_BoTIoT.csv,MinMaxScaler,SUOD,65.34794005088405
data_BoTIoT.csv,MinMaxScaler,NeuTraLAD,71.85761799898802
data_BoTIoT.csv,MinMaxScaler,DIF,48.36750546967979
data_BoTIoT.csv,Normalizer,LUNAR,93.34750532714742
data_BoTIoT.csv,Normalizer,DASVDD,49.644888432785294
data_BoTIoT.csv,Normalizer,SUOD,66.555375964766
data_BoTIoT.csv,Normalizer,NeuTraLAD,58.76028549234245
data_BoTIoT.csv,Normalizer,DIF,33.23573144050342
data_BoTIoT.csv,RobustScaler,LUNAR,87.96458996999694
data_BoTIoT.csv,RobustScaler,DASVDD,68.0482871172115
data_BoTIoT.csv,RobustScaler,SUOD,67.02938946258168
data_BoTIoT.csv,RobustScaler,NeuTraLAD,93.12863831697774
data_BoTIoT.csv,RobustScaler,DIF,86.72790142461106
