AUCROC,scaler,nCluster
94.13421817928965,RobustScaler,268
94.0658081627737,RobustScaler,100
93.73135173960732,RobustScaler,337
93.59334340045832,RobustScaler,220
93.41955554744612,RobustScaler,154
93.37658103170575,RobustScaler,157
93.3093478215704,RobustScaler,343
93.17022592459226,RobustScaler,184
93.11042921080298,RobustScaler,163
93.10290646643224,RobustScaler,10
92.89423991225856,RobustScaler,214
92.85303635595731,RobustScaler,136
92.8497014323382,RobustScaler,103
92.8485399589398,RobustScaler,277
92.75614724170768,RobustScaler,328
92.75133651855596,RobustScaler,145
92.73325893259292,MinMaxScaler,343
92.72830062948792,RobustScaler,292
92.63196158597314,RobustScaler,187
92.45089439968194,RobustScaler,13
92.42968121886784,RobustScaler,280
92.42173106761943,RobustScaler,349
92.39224382630891,RobustScaler,82
92.380604176229,StandardScaler,7
92.35237423945534,StandardScaler,127
92.24571609894896,RobustScaler,244
92.19394428469606,RobustScaler,1
92.16343931669483,RobustScaler,88
92.16158402585386,StandardScaler,187
92.1412448250227,MinMaxScaler,283
92.05588228010951,RobustScaler,250
92.04832311990614,RobustScaler,334
91.99091835133338,StandardScaler,46
91.98925280614657,RobustScaler,316
91.92843836566664,RobustScaler,307
91.83377061720697,StandardScaler,4
91.74279811744712,RobustScaler,289
91.69130996336416,RobustScaler,274
91.6803679639724,RobustScaler,319
91.62560238495338,MinMaxScaler,220
91.58205288238214,RobustScaler,265
91.55686079269832,StandardScaler,13
91.41190469600944,MinMaxScaler,208
91.32067153555292,RobustScaler,211
91.31123025178982,RobustScaler,253
91.28678564498613,RobustScaler,208
91.27088725911214,RobustScaler,172
91.2608019900984,StandardScaler,10
91.25327349585936,RobustScaler,313
91.22512597386478,RobustScaler,106
91.21446571802018,RobustScaler,166
91.18243895153988,StandardScaler,91
91.1435487589216,MinMaxScaler,271
91.13944910281737,RobustScaler,70
91.11136674599696,RobustScaler,139
91.04614982301524,RobustScaler,223
90.94600628330276,RobustScaler,301
90.94039441183332,RobustScaler,61
90.83501082546871,RobustScaler,286
90.83244063433466,StandardScaler,19
90.80163283993583,StandardScaler,16
90.7659204078696,StandardScaler,40
90.73360806459662,RobustScaler,178
90.72132442926616,RobustScaler,322
90.720601862482,RobustScaler,118
90.67687219737044,RobustScaler,148
90.66281760260084,MinMaxScaler,253
90.63436533758588,StandardScaler,151
90.58696725649328,RobustScaler,235
90.56439135688996,RobustScaler,130
90.5638451194006,RobustScaler,193
90.54702292135168,MinMaxScaler,262
90.5258902386939,MinMaxScaler,217
90.48163350232068,RobustScaler,175
90.45925118161708,StandardScaler,49
90.4521481776329,MinMaxScaler,28
90.44249223211958,MinMaxScaler,166
90.44248456562848,RobustScaler,91
90.43126657255792,RobustScaler,232
90.42891104317408,StandardScaler,34
90.41983391773717,RobustScaler,85
90.376949483267,StandardScaler,196
90.33732330750516,MinMaxScaler,235
90.32034586301192,RobustScaler,160
90.31974021021672,RobustScaler,181
90.3008557260677,MinMaxScaler,268
90.2755658886226,MinMaxScaler,202
90.22917978435235,MinMaxScaler,286
90.1792785939226,RobustScaler,205
90.17183059783989,MinMaxScaler,214
90.11631561931794,MinMaxScaler,232
90.09923467719511,MinMaxScaler,184
90.09766304652402,MinMaxScaler,205
90.07856965049312,MinMaxScaler,247
90.04494633724572,MinMaxScaler,316
90.00495983640322,MinMaxScaler,265
89.96447884688614,StandardScaler,25
89.94151578948336,MinMaxScaler,304
89.94043289761852,MinMaxScaler,1
89.92048277120959,MinMaxScaler,145
89.90042339730279,RobustScaler,199
89.89582925252402,RobustScaler,34
89.84155432893401,RobustScaler,238
89.83019642240126,MinMaxScaler,331
89.80135316634133,StandardScaler,139
89.79216487678377,MinMaxScaler,346
89.79005659173718,MinMaxScaler,169
89.73188134081103,StandardScaler,133
89.70177694696866,RobustScaler,169
89.7013648730732,StandardScaler,61
89.68026285637971,RobustScaler,151
89.66850245906535,MinMaxScaler,259
89.6147526901142,MinMaxScaler,256
89.60753852200938,RobustScaler,256
89.594921394317,StandardScaler,22
89.59039624795793,MinMaxScaler,289
89.57180692371543,MinMaxScaler,298
89.5696449732313,MinMaxScaler,238
89.55779449464676,RobustScaler,112
89.53378112796624,MinMaxScaler,307
89.50814821504538,MinMaxScaler,319
89.49186458799471,StandardScaler,43
89.480190438705,MinMaxScaler,226
89.39150830315484,MinMaxScaler,196
89.37629031836408,MinMaxScaler,274
89.37478960273548,MinMaxScaler,157
89.36736460612596,MinMaxScaler,250
89.34395305899511,RobustScaler,346
89.34134453540565,MinMaxScaler,223
89.33059036504534,MinMaxScaler,139
89.28422726024831,MinMaxScaler,172
89.27913287692668,MinMaxScaler,241
89.23224078424523,QuantileTransformer,313
89.22199451891886,MinMaxScaler,295
89.2213102845901,MinMaxScaler,244
89.19960069847868,QuantileTransformer,232
89.19649001972358,MinMaxScaler,211
89.19351925443067,MinMaxScaler,325
89.19142630236625,MinMaxScaler,160
89.18181443917663,QuantileTransformer,274
89.17108135166679,QuantileTransformer,337
89.16504207331971,MinMaxScaler,322
89.16039809634893,MinMaxScaler,181
89.14283608191094,MinMaxScaler,187
89.12424100780012,MinMaxScaler,229
89.11562195520514,MinMaxScaler,301
89.11535937788572,MinMaxScaler,148
89.09184049987975,RobustScaler,109
89.07658801587914,MinMaxScaler,337
89.0721069518438,MinMaxScaler,292
89.05246540170076,MinMaxScaler,193
89.01134042693309,MinMaxScaler,151
88.96808416764563,MinMaxScaler,142
88.90941251142212,RobustScaler,295
88.88624629200577,MinMaxScaler,154
88.88602204714171,RobustScaler,262
88.88584188460136,QuantileTransformer,316
88.88531098009419,MinMaxScaler,310
88.82127086349298,MinMaxScaler,121
88.81899583226547,MinMaxScaler,40
88.77512625369171,MinMaxScaler,178
88.76850623864544,MinMaxScaler,349
88.76285795134339,StandardScaler,67
88.73269414219516,RobustScaler,79
88.68205505199913,RobustScaler,73
88.6613095271408,RobustScaler,247
88.64562963626257,QuantileTransformer,82
88.63044998392719,Normalizer,313
88.6200925544802,MinMaxScaler,163
88.61378494894538,RobustScaler,7
88.58801595580789,MinMaxScaler,313
88.55594510700391,RobustScaler,4
88.51991451555786,StandardScaler,37
88.47238035424863,RobustScaler,283
88.45222514920334,StandardScaler,202
88.4304331483128,MinMaxScaler,340
88.39261818106826,QuantileTransformer,295
88.3786000021313,MinMaxScaler,199
88.36119131751485,MinMaxScaler,334
88.35377973726474,MinMaxScaler,280
88.2662897410773,QuantileTransformer,31
88.25558348628621,QuantileTransformer,223
88.2314877048266,RobustScaler,271
88.22566883809803,StandardScaler,64
88.22248149443217,QuantileTransformer,340
88.19804455411956,RobustScaler,115
88.19667608546207,MinMaxScaler,277
88.19531911654117,QuantileTransformer,64
88.17211456466943,StandardScaler,280
88.16970728647078,MinMaxScaler,103
88.13714769886053,StandardScaler,325
88.10144101666259,MinMaxScaler,118
88.0982977553204,MinMaxScaler,136
88.08956370535927,StandardScaler,169
88.07624317711044,StandardScaler,334
88.05997296641915,MinMaxScaler,112
88.04058249385895,MinMaxScaler,109
88.02275215223321,RobustScaler,121
88.01660362638827,QuantileTransformer,343
88.01264196712347,StandardScaler,1
87.99633917384513,StandardScaler,157
87.99080588390925,StandardScaler,112
87.98397504035832,StandardScaler,238
87.97777093245308,StandardScaler,73
87.96241686744568,Normalizer,310
87.92979786452958,QuantileTransformer,220
87.9294490391855,StandardScaler,172
87.92243611647149,QuantileTransformer,262
87.91346248866414,MinMaxScaler,328
87.89166282128251,QuantileTransformer,328
87.84736583583113,Normalizer,322
87.83611334355072,QuantileTransformer,331
87.83108220878046,MinMaxScaler,175
87.81203864494157,StandardScaler,205
87.76967936511026,QuantileTransformer,298
87.7606194892783,StandardScaler,142
87.75002248198508,RobustScaler,310
87.71417205307941,RobustScaler,241
87.66418844787057,StandardScaler,52
87.62811569072363,Normalizer,289
87.60529446340581,QuantileTransformer,34
87.57278470798757,StandardScaler,259
87.51132436563428,MinMaxScaler,133
87.51075129542618,StandardScaler,124
87.46323246709906,QuantileTransformer,325
87.43471695353271,RobustScaler,94
87.40878888070533,RobustScaler,202
87.39665090870535,MinMaxScaler,190
87.38995806199384,StandardScaler,265
87.38520675414797,QuantileTransformer,181
87.37686752847738,StandardScaler,274
87.35663374189853,QuantileTransformer,247
87.33906597759223,StandardScaler,214
87.32704108633564,QuantileTransformer,307
87.29435116837708,StandardScaler,76
87.24163445909876,RobustScaler,28
87.24023532447696,StandardScaler,304
87.21791816894753,StandardScaler,79
87.2069071711361,StandardScaler,178
87.15564326191716,QuantileTransformer,40
87.15146310765662,RobustScaler,229
87.07935209257258,QuantileTransformer,235
87.05584088105769,QuantileTransformer,7
87.05157064552698,QuantileTransformer,241
87.00932827968464,QuantileTransformer,292
86.99936567452818,RobustScaler,133
86.97668627729529,RobustScaler,97
86.97144814726593,StandardScaler,211
86.93278794938001,Normalizer,286
86.88860212804926,RobustScaler,127
86.87546942883185,Normalizer,283
86.86990930617718,QuantileTransformer,238
86.83565734066137,QuantileTransformer,259
86.8054896982676,QuantileTransformer,214
86.79551176012899,QuantileTransformer,4
86.75736713376807,Normalizer,298
86.74329720601632,RobustScaler,325
86.73596229067701,MinMaxScaler,106
86.73462448798381,QuantileTransformer,265
86.73063024613194,StandardScaler,160
86.72834371516778,StandardScaler,70
86.61372775692193,QuantileTransformer,253
86.61257778326016,QuantileTransformer,286
86.54279354821844,QuantileTransformer,130
86.52188511042468,QuantileTransformer,271
86.49461923490412,StandardScaler,31
86.47467294174072,MinMaxScaler,34
86.44308699849745,RobustScaler,19
86.42215939447601,RobustScaler,304
86.41977703237337,Normalizer,340
86.412683611503,QuantileTransformer,244
86.41214695712752,QuantileTransformer,301
86.40022748012328,Normalizer,301
86.39176942384097,QuantileTransformer,319
86.37118106204974,MinMaxScaler,124
86.328484456611,RobustScaler,31
86.32559802271996,RobustScaler,142
86.32082754864638,QuantileTransformer,304
86.27529242488583,QuantileTransformer,334
86.23984448676177,RobustScaler,340
86.22701461394196,StandardScaler,181
86.21204770673403,QuantileTransformer,187
86.19801611143765,StandardScaler,292
86.1789380483889,QuantileTransformer,139
86.17405449357192,RobustScaler,259
86.14969805141564,Normalizer,316
86.14158498723184,QuantileTransformer,67
86.10968663447711,QuantileTransformer,277
86.10329278091767,RobustScaler,217
86.08335990411366,StandardScaler,94
86.0667542844377,QuantileTransformer,289
86.032343239232,StandardScaler,58
85.9755575398138,StandardScaler,148
85.94730460356689,StandardScaler,337
85.94342344245842,RobustScaler,37
85.92077854443541,StandardScaler,55
85.91818727045089,QuantileTransformer,49
85.91306988765601,QuantileTransformer,211
85.90515040237194,QuantileTransformer,226
85.85192195481417,RobustScaler,331
85.8447863682429,StandardScaler,241
85.8393220767267,RobustScaler,226
85.83520133777202,QuantileTransformer,199
85.8143235659426,RobustScaler,64
85.8110116417967,StandardScaler,136
85.79666763698887,Normalizer,280
85.78088616510387,QuantileTransformer,322
85.77277118429731,RobustScaler,76
85.76879610867313,RobustScaler,196
85.76318040395815,StandardScaler,316
85.74141715240913,Normalizer,292
85.73125713510741,MinMaxScaler,82
85.72147660911406,QuantileTransformer,280
85.70907222654911,MinMaxScaler,115
85.69169804114254,QuantileTransformer,97
85.65353616517669,QuantileTransformer,229
85.65086822628139,QuantileTransformer,58
85.63926499203413,RobustScaler,52
85.60081178940732,QuantileTransformer,346
85.60059712765712,RobustScaler,22
85.49009999174318,QuantileTransformer,118
85.48955758749939,QuantileTransformer,268
85.4702035307718,QuantileTransformer,61
85.46697785465054,RobustScaler,49
85.44178193172115,StandardScaler,97
85.4049080262565,QuantileTransformer,73
85.39949931680064,QuantileTransformer,310
85.35835134255976,MinMaxScaler,43
85.32869352182271,MinMaxScaler,49
85.25619343231642,QuantileTransformer,70
85.14795599464786,RobustScaler,55
85.11035568915354,QuantileTransformer,178
85.10874572602705,QuantileTransformer,55
85.10294985877174,QuantileTransformer,133
85.09439022148264,StandardScaler,313
85.0566442526578,Normalizer,334
85.0252365553321,StandardScaler,322
84.99622463646841,MinMaxScaler,25
84.96093002816592,StandardScaler,82
84.95239339035004,MinMaxScaler,37
84.91961147449854,QuantileTransformer,256
84.90448165435518,QuantileTransformer,217
84.84797003199304,QuantileTransformer,349
84.84708646889625,QuantileTransformer,283
84.81831604450153,QuantileTransformer,202
84.75429126088247,StandardScaler,106
84.7265596460289,QuantileTransformer,175
84.6232076798001,QuantileTransformer,208
84.5883251453931,StandardScaler,115
84.52507851061851,MinMaxScaler,88
84.33729547814256,RobustScaler,40
84.33404871917082,QuantileTransformer,250
84.31617621184417,Normalizer,310
84.17865469487865,RobustScaler,67
84.11171089478148,QuantileTransformer,190
84.0385859862523,Normalizer,331
83.98076722716128,StandardScaler,295
83.95973037564197,QuantileTransformer,184
83.91752250900947,QuantileTransformer,157
83.88802185133952,MinMaxScaler,58
83.87436399748324,Normalizer,319
83.87178805648088,Normalizer,328
83.78086922215857,QuantileTransformer,43
83.76699862317486,QuantileTransformer,91
83.7331357320813,StandardScaler,286
83.72642755238763,MinMaxScaler,100
83.67418999880172,StandardScaler,130
83.66566869396802,QuantileTransformer,103
83.63152022608176,Normalizer,325
83.57714563810774,QuantileTransformer,148
83.55490706411187,QuantileTransformer,163
83.52408202010812,Normalizer,337
83.5228726311405,StandardScaler,253
83.47024025326407,QuantileTransformer,196
83.46888520096594,StandardScaler,319
83.43537113521643,RobustScaler,43
83.42286133839914,RobustScaler,190
83.38384081543254,StandardScaler,175
83.32451750746735,MinMaxScaler,64
83.24433942714599,RobustScaler,298
83.23265761136517,StandardScaler,271
83.18487620571864,MinMaxScaler,10
83.1550976377471,StandardScaler,232
83.13360463000863,RobustScaler,16
83.09203883200395,StandardScaler,307
83.08353094352962,MinMaxScaler,127
83.04858899381675,Normalizer,307
83.01586266002555,QuantileTransformer,154
82.96291403939212,QuantileTransformer,85
82.95765290988952,StandardScaler,109
82.92643304159523,Normalizer,295
82.86205751600937,Normalizer,349
82.85164258787927,RobustScaler,124
82.81553341489969,QuantileTransformer,1
82.76359293784309,StandardScaler,28
82.75273526985319,MinMaxScaler,130
82.65782602692457,QuantileTransformer,169
82.64519164962726,Normalizer,343
82.61701921153666,QuantileTransformer,46
82.61558941095053,QuantileTransformer,109
82.55682192358856,StandardScaler,190
82.44907130810346,MinMaxScaler,85
82.43632768330829,Normalizer,346
82.43352749744189,StandardScaler,88
82.40332535583826,MinMaxScaler,67
82.33232023209229,StandardScaler,256
82.2660779159288,QuantileTransformer,76
82.22430895591054,Normalizer,307
82.05940848268105,StandardScaler,100
82.03796914038013,MinMaxScaler,94
82.0365201735663,StandardScaler,343
82.01209473299029,Normalizer,337
81.95372206991887,QuantileTransformer,22
