dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,1,10,0.93914,0.0,0.758,1.0,0,0,2.28991,50.4649,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,2,10,0.29633,0.0,0.6741,1.0,0,0,1.69852,50.1314,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,3,10,0.23756,0.0,0.2816,1.0,0,0,1.08618,50.5792,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,4,10,0.21456,33.33,0.1199,1.0,0,0,0.86034,50.9433,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,5,10,0.21632,33.33,0.095,1.0,0,0,0.8021,49.9777,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,6,10,0.21547,66.67,0.0118,1.0,0,0,0.69842,50.4284,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,7,10,0.203,66.67,-0.043,1.0,0,0,0.71851,50.7199,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,8,10,0.19173,66.67,-0.0329,1.0,0,0,0.76025,50.5782,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,9,10,0.18851,66.67,0.0011,1.0,0,0,0.74984,50.5125,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
BoTIoT,Ablation_FedLUNAR_NoDROGA,3,0.5,10,10,0.17674,66.67,-0.0589,1.0,0,0,0.66754,50.7293,0.528,99.78,95.96,67.62,5.01,0.0007,48.08
