dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
BoTIoT,Proposed_FedLUNAR,3,0.5,1,10,0.93914,0.0,0.758,1.0,0,0,3.04266,50.4649,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
BoTIoT,Proposed_FedLUNAR,3,0.5,2,10,0.29395,0.0,0.6955,1.0,0,0,2.24956,50.1314,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
BoTIoT,Proposed_FedLUNAR,3,0.5,3,10,0.23338,0.0,0.316,1.0,0,0,1.30548,50.5792,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
BoTIoT,Proposed_FedLUNAR,3,0.5,4,10,0.21267,33.33,0.0748,1.0,0,0,0.97792,50.9433,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
BoTIoT,Proposed_FedLUNAR,3,0.5,5,10,0.21115,33.33,0.0573,1.0,0,0,0.97218,49.9777,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
BoTIoT,Proposed_FedLUNAR,3,0.5,6,10,0.2106,66.67,-0.0505,1.0,0,0,0.76899,50.4284,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
BoTIoT,Proposed_FedLUNAR,3,0.5,7,10,0.20013,66.67,-0.1228,1.0,0,0,0.71435,50.7199,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
BoTIoT,Proposed_FedLUNAR,3,0.5,8,10,0.19261,66.67,-0.0605,1.0,0,0,0.80303,50.5782,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
BoTIoT,Proposed_FedLUNAR,3,0.5,9,10,0.18679,66.67,-0.0332,1.0,0,0,0.8049,50.5125,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
BoTIoT,Proposed_FedLUNAR,3,0.5,10,10,0.17451,66.67,-0.0906,1.0,0,0,0.72922,50.7293,0.773,99.73,93.14,67.62,5.01,0.0008,49.64
