dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,1,10,1.19063,0.0,0.8603,1.0,0,0,3.09717,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,2,10,0.72895,0.0,0.6338,1.0,0,0,2.03717,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,3,10,0.66084,0.0,0.5647,1.0,0,0,1.83393,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,4,10,0.62064,0.0,0.4527,1.0,0,0,1.43108,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,5,10,0.59416,0.0,0.3752,1.0,0,0,1.26607,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,6,10,0.5776,0.0,0.2662,1.0,0,0,1.09849,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,7,10,0.57111,0.0,0.1699,1.0,0,0,0.99116,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,8,10,0.5594,33.33,0.1759,1.0,0,0,0.91294,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,9,10,0.55344,0.0,0.194,1.0,0,0,0.86709,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
CICIoT2023,Ablation_FedLUNAR_NoCMNP,3,0.5,10,10,0.54411,0.0,0.1935,1.0,0,0,0.91034,0.0,0.692,93.83,73.66,55.7,5.01,0.001,61.41
