dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,1,10,1.16947,0.0,0.8467,1.0,0,0,2.24732,65.0048,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,2,10,0.35441,0.0,0.6915,1.0,0,0,1.89164,64.8957,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,3,10,0.20519,0.0,0.4514,1.0,0,0,1.28685,64.9555,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,4,10,0.19301,33.33,0.1215,1.0,0,0,0.84143,64.942,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,5,10,0.17792,66.67,0.0152,1.0,0,0,0.70402,64.7893,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,6,10,0.17267,66.67,-0.0479,1.0,0,0,0.61894,64.9344,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,7,10,0.1743,33.33,0.0417,1.0,0,0,0.78192,65.0219,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,8,10,0.16746,66.67,-0.0446,1.0,0,0,0.67826,64.6943,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,9,10,0.17253,33.33,-0.0118,1.0,0,0,0.74959,65.1641,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
CICIoT2023,Ablation_FedLUNAR_NoDROGA,3,0.5,10,10,0.17036,33.33,0.0309,1.0,0,0,0.73803,64.9446,0.808,96.25,80.47,59.65,5.01,0.0011,61.41
