dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
CICIoT2023,FedAutoEncoder,3,0.5,1,10,0.6113,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
CICIoT2023,FedAutoEncoder,3,0.5,2,10,0.35021,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
CICIoT2023,FedAutoEncoder,3,0.5,3,10,0.24565,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
CICIoT2023,FedAutoEncoder,3,0.5,4,10,0.17346,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
CICIoT2023,FedAutoEncoder,3,0.5,5,10,0.14486,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
CICIoT2023,FedAutoEncoder,3,0.5,6,10,0.12292,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
CICIoT2023,FedAutoEncoder,3,0.5,7,10,0.10908,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
CICIoT2023,FedAutoEncoder,3,0.5,8,10,0.0995,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
CICIoT2023,FedAutoEncoder,3,0.5,9,10,0.09114,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
CICIoT2023,FedAutoEncoder,3,0.5,10,10,0.08415,0.0,1.0,1.0,0,0,0.0,0.0,0.244,95.45,75.54,59.25,5.01,0.0002,18.9
