dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
CICIoT2023,FedProx_LUNAR,3,0.5,1,10,1.18557,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
CICIoT2023,FedProx_LUNAR,3,0.5,2,10,0.70216,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
CICIoT2023,FedProx_LUNAR,3,0.5,3,10,0.63597,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
CICIoT2023,FedProx_LUNAR,3,0.5,4,10,0.59074,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
CICIoT2023,FedProx_LUNAR,3,0.5,5,10,0.55545,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
CICIoT2023,FedProx_LUNAR,3,0.5,6,10,0.53804,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
CICIoT2023,FedProx_LUNAR,3,0.5,7,10,0.53202,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
CICIoT2023,FedProx_LUNAR,3,0.5,8,10,0.51486,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
CICIoT2023,FedProx_LUNAR,3,0.5,9,10,0.51571,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
CICIoT2023,FedProx_LUNAR,3,0.5,10,10,0.51134,0.0,1.0,1.0,0,0,0.0,0.0,0.816,93.52,68.83,55.7,5.01,0.0011,61.41
