dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
CICIoT2023,PCGrad_FedLUNAR,3,0.5,1,10,1.16916,0.0,1.0,1.0,0,0,2.28858,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
CICIoT2023,PCGrad_FedLUNAR,3,0.5,2,10,0.69487,0.0,1.0,1.0,0,0,1.61112,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
CICIoT2023,PCGrad_FedLUNAR,3,0.5,3,10,0.62483,0.0,1.0,1.0,0,0,1.395,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
CICIoT2023,PCGrad_FedLUNAR,3,0.5,4,10,0.57699,0.0,1.0,1.0,0,0,1.22341,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
CICIoT2023,PCGrad_FedLUNAR,3,0.5,5,10,0.54558,0.0,1.0,1.0,0,0,1.02951,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
CICIoT2023,PCGrad_FedLUNAR,3,0.5,6,10,0.5282,0.0,1.0,1.0,0,0,0.92309,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
CICIoT2023,PCGrad_FedLUNAR,3,0.5,7,10,0.52306,0.0,1.0,1.0,0,0,0.81007,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
CICIoT2023,PCGrad_FedLUNAR,3,0.5,8,10,0.50478,0.0,1.0,1.0,0,0,0.7332,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
CICIoT2023,PCGrad_FedLUNAR,3,0.5,9,10,0.50403,0.0,1.0,1.0,0,0,0.68731,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
CICIoT2023,PCGrad_FedLUNAR,3,0.5,10,10,0.50199,0.0,1.0,1.0,0,0,0.6543,0.0,0.676,94.48,70.0,56.13,5.01,0.0019,61.41
