dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
CICIoT2023,Proposed_FedLUNAR,3,0.5,1,10,1.16947,0.0,0.8467,1.0,0,0,3.08598,65.0048,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
CICIoT2023,Proposed_FedLUNAR,3,0.5,2,10,0.34745,0.0,0.722,1.0,0,0,2.40088,64.8957,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
CICIoT2023,Proposed_FedLUNAR,3,0.5,3,10,0.19527,0.0,0.356,1.0,0,0,1.32326,64.9555,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
CICIoT2023,Proposed_FedLUNAR,3,0.5,4,10,0.18462,33.33,0.1218,1.0,0,0,1.00782,64.942,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
CICIoT2023,Proposed_FedLUNAR,3,0.5,5,10,0.17403,66.67,0.0585,1.0,0,0,0.90758,64.7893,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
CICIoT2023,Proposed_FedLUNAR,3,0.5,6,10,0.17107,66.67,-0.0221,1.0,0,0,0.80493,64.9344,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
CICIoT2023,Proposed_FedLUNAR,3,0.5,7,10,0.16477,66.67,-0.0145,1.0,0,0,0.84911,65.0219,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
CICIoT2023,Proposed_FedLUNAR,3,0.5,8,10,0.16036,66.67,-0.0093,1.0,0,0,0.83414,64.6943,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
CICIoT2023,Proposed_FedLUNAR,3,0.5,9,10,0.16252,66.67,-0.0463,1.0,0,0,0.80132,65.1641,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
CICIoT2023,Proposed_FedLUNAR,3,0.5,10,10,0.16109,33.33,0.0073,1.0,0,0,0.82602,64.9446,0.888,96.41,82.48,59.86,5.01,0.0017,61.41
