dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,1,10,1.90602,0.0,0.9135,1.0,0,0,3.20965,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,2,10,0.87236,0.0,0.8391,1.0,0,0,3.08053,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,3,10,0.74057,0.0,0.6912,1.0,0,0,1.88042,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,4,10,0.69809,0.0,0.5374,1.0,0,0,1.66383,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,5,10,0.67606,0.0,0.5296,1.0,0,0,1.59622,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,6,10,0.65208,0.0,0.4964,1.0,0,0,1.41745,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,7,10,0.62255,0.0,0.5454,1.0,0,0,1.56476,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,8,10,0.59884,0.0,0.5491,1.0,0,0,1.47425,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,9,10,0.57957,0.0,0.3507,1.0,0,0,1.10976,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
N_BaIoT,Ablation_FedLUNAR_NoCMNP,3,0.5,10,10,0.56773,0.0,0.2514,1.0,0,0,0.9513,0.0,0.935,93.41,87.75,60.26,5.01,0.002,67.06
