dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
N_BaIoT,FedProx_LUNAR,3,0.5,1,10,1.92375,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
N_BaIoT,FedProx_LUNAR,3,0.5,2,10,0.88891,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
N_BaIoT,FedProx_LUNAR,3,0.5,3,10,0.76391,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
N_BaIoT,FedProx_LUNAR,3,0.5,4,10,0.72254,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
N_BaIoT,FedProx_LUNAR,3,0.5,5,10,0.71065,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
N_BaIoT,FedProx_LUNAR,3,0.5,6,10,0.68556,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
N_BaIoT,FedProx_LUNAR,3,0.5,7,10,0.65859,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
N_BaIoT,FedProx_LUNAR,3,0.5,8,10,0.64306,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
N_BaIoT,FedProx_LUNAR,3,0.5,9,10,0.63363,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
N_BaIoT,FedProx_LUNAR,3,0.5,10,10,0.62433,0.0,1.0,1.0,0,0,0.0,0.0,1.069,96.73,77.7,61.84,5.01,0.002,67.06
