dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
N_BaIoT,Naive_FedLUNAR,3,0.5,1,10,1.90825,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
N_BaIoT,Naive_FedLUNAR,3,0.5,2,10,0.87539,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
N_BaIoT,Naive_FedLUNAR,3,0.5,3,10,0.74817,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
N_BaIoT,Naive_FedLUNAR,3,0.5,4,10,0.70783,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
N_BaIoT,Naive_FedLUNAR,3,0.5,5,10,0.69198,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
N_BaIoT,Naive_FedLUNAR,3,0.5,6,10,0.66771,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
N_BaIoT,Naive_FedLUNAR,3,0.5,7,10,0.6328,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
N_BaIoT,Naive_FedLUNAR,3,0.5,8,10,0.6141,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
N_BaIoT,Naive_FedLUNAR,3,0.5,9,10,0.601,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
N_BaIoT,Naive_FedLUNAR,3,0.5,10,10,0.59042,0.0,1.0,1.0,0,0,0.0,0.0,0.915,97.14,81.45,62.82,5.01,0.002,67.06
