dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
N_BaIoT,Proposed_FedLUNAR,3,0.5,1,10,1.95705,0.0,0.8994,1.0,0,0,3.37485,57.2815,1.105,99.79,97.54,66.94,5.01,0.002,67.06
N_BaIoT,Proposed_FedLUNAR,3,0.5,2,10,0.46971,0.0,0.868,1.0,0,0,2.59549,56.8341,1.105,99.79,97.54,66.94,5.01,0.002,67.06
N_BaIoT,Proposed_FedLUNAR,3,0.5,3,10,0.29203,0.0,0.7591,1.0,0,0,2.47222,57.2229,1.105,99.79,97.54,66.94,5.01,0.002,67.06
N_BaIoT,Proposed_FedLUNAR,3,0.5,4,10,0.17597,0.0,0.5064,1.0,0,0,1.46838,57.076,1.105,99.79,97.54,66.94,5.01,0.002,67.06
N_BaIoT,Proposed_FedLUNAR,3,0.5,5,10,0.15014,0.0,0.2193,1.0,0,0,0.99094,57.1559,1.105,99.79,97.54,66.94,5.01,0.002,67.06
N_BaIoT,Proposed_FedLUNAR,3,0.5,6,10,0.15835,0.0,0.1622,1.0,0,0,0.96638,57.6764,1.105,99.79,97.54,66.94,5.01,0.002,67.06
N_BaIoT,Proposed_FedLUNAR,3,0.5,7,10,0.13988,33.33,0.0878,1.0,0,0,0.96647,57.0384,1.105,99.79,97.54,66.94,5.01,0.002,67.06
N_BaIoT,Proposed_FedLUNAR,3,0.5,8,10,0.12842,33.33,0.128,1.0,0,0,0.97472,57.11,1.105,99.79,97.54,66.94,5.01,0.002,67.06
N_BaIoT,Proposed_FedLUNAR,3,0.5,9,10,0.12541,33.33,0.0422,1.0,0,0,0.93384,57.0067,1.105,99.79,97.54,66.94,5.01,0.002,67.06
N_BaIoT,Proposed_FedLUNAR,3,0.5,10,10,0.12879,33.33,0.0167,1.0,0,0,0.86928,57.683,1.105,99.79,97.54,66.94,5.01,0.002,67.06
