dataset,alpha,method,auc_roc,f1_score,f1_optimal,far,detection_rate,round_conflict_ratio
BoTIoT,0.1,Proposed_FedLUNAR,98.78,75.86,75.86,5.01,98.95,50.0
BoTIoT,0.1,Naive_FedLUNAR,98.51,76.03,76.03,5.01,100.0,0.0
BoTIoT,0.1,FedProx_LUNAR,98.61,76.03,76.03,5.01,100.0,0.0
BoTIoT,0.1,PCGrad_FedLUNAR,98.43,74.59,74.59,5.01,100.0,0.0
BoTIoT,0.5,Proposed_FedLUNAR,99.17,83.64,83.64,5.01,100.0,30.0
BoTIoT,0.5,Naive_FedLUNAR,98.45,74.69,74.69,5.01,100.0,0.0
BoTIoT,0.5,FedProx_LUNAR,98.71,78.15,78.15,5.01,100.0,0.0
BoTIoT,0.5,PCGrad_FedLUNAR,98.58,76.11,76.11,5.01,100.0,0.0
BoTIoT,1.0,Proposed_FedLUNAR,99.84,92.71,92.71,5.01,100.0,30.0
BoTIoT,1.0,Naive_FedLUNAR,98.87,77.88,77.88,5.01,100.0,0.0
BoTIoT,1.0,FedProx_LUNAR,98.91,79.13,79.13,5.01,100.0,0.0
BoTIoT,1.0,PCGrad_FedLUNAR,98.83,77.19,77.19,5.01,100.0,0.0
BoTIoT,5.0,Proposed_FedLUNAR,99.84,94.79,94.79,5.01,100.0,50.0
BoTIoT,5.0,Naive_FedLUNAR,98.45,73.11,73.11,5.01,98.95,0.0
BoTIoT,5.0,FedProx_LUNAR,98.51,73.44,73.44,5.01,100.0,0.0
BoTIoT,5.0,PCGrad_FedLUNAR,98.52,74.31,74.31,5.01,100.0,0.0
CICIoT2023,0.1,Proposed_FedLUNAR,95.66,70.65,70.65,5.02,83.33,40.0
CICIoT2023,0.1,Naive_FedLUNAR,93.26,60.0,60.0,5.02,69.7,0.0
CICIoT2023,0.1,FedProx_LUNAR,94.31,63.19,63.19,5.02,76.77,0.0
CICIoT2023,0.1,PCGrad_FedLUNAR,94.0,61.8,61.8,5.02,77.27,0.0
CICIoT2023,0.5,Proposed_FedLUNAR,96.04,75.6,75.6,5.02,83.84,70.0
CICIoT2023,0.5,Naive_FedLUNAR,93.56,57.22,57.22,5.02,65.66,0.0
CICIoT2023,0.5,FedProx_LUNAR,94.39,58.62,58.62,5.02,74.75,0.0
CICIoT2023,0.5,PCGrad_FedLUNAR,93.48,57.3,57.3,5.02,66.16,0.0
CICIoT2023,1.0,Proposed_FedLUNAR,96.11,77.28,77.28,5.02,84.34,30.0
CICIoT2023,1.0,Naive_FedLUNAR,94.07,65.88,65.88,5.02,68.69,0.0
CICIoT2023,1.0,FedProx_LUNAR,94.17,66.48,66.48,5.02,73.74,0.0
CICIoT2023,1.0,PCGrad_FedLUNAR,94.29,66.86,66.86,5.02,72.73,0.0
CICIoT2023,5.0,Proposed_FedLUNAR,96.0,77.38,77.38,5.02,82.83,30.0
CICIoT2023,5.0,Naive_FedLUNAR,94.33,69.57,69.57,5.02,74.75,0.0
CICIoT2023,5.0,FedProx_LUNAR,94.93,69.64,69.64,5.02,77.78,0.0
CICIoT2023,5.0,PCGrad_FedLUNAR,94.9,70.74,70.74,5.02,80.3,0.0
