	Dataset	Epsilon	Rank_Pt	AUC-ROC	AUC-PR	F1 Score	Train Time (s)	Peak RAM Train (MB)
1	CICIoT2023	5	33	88.0712	85.5234	82.478	0.4202	31.699
2	CICIoT2023	0.5	35	95.2816	93.4421	90.7634	0.5018	31.699
3	CICIoT2023	0.05	35	95.2816	93.4421	90.7634	0.4239	31.699
4	CICIoT2023	0.035	35	95.2816	93.4421	90.7634	0.4122	31.699
5	CICIoT2023	0.01	35	95.2816	93.4421	90.7634	0.6096	31.699
6	CICIoT2023	0.001	35	95.2816	93.4421	90.7634	0.4539	31.699
7	CICIoT2023	0.0001	35	95.2816	93.4421	90.7634	0.1393	31.699
8	CICIoT2023	2e-06	35	95.2816	93.4421	90.7634	0.5335	31.699
9	CICIoT2023	1e-10	35	95.2816	93.4421	90.7634	0.4266	31.699
10	CICIoT2023	0.0	44	95.2583	93.8395	89.8521	0.462	31.699
11	ToNIoT	5	22	87.7795	89.6707	81.8047	0.4908	30.979
12	ToNIoT	0.5	30	99.305	99.4794	97.4222	0.4913	30.979
13	ToNIoT	0.05	30	99.305	99.4794	97.4222	0.54	30.979
14	ToNIoT	0.035	30	99.305	99.4794	97.4222	0.2317	30.979
15	ToNIoT	0.01	30	99.305	99.4794	97.4222	0.6914	30.979
16	ToNIoT	0.001	31	98.9928	99.2484	96.7761	0.4755	30.979
17	ToNIoT	0.0001	35	99.1772	99.4209	97.3978	0.4923	30.979
18	ToNIoT	2e-06	35	99.1772	99.4209	97.3978	0.2878	30.979
19	ToNIoT	1e-10	38	99.1755	99.4192	97.3873	0.1759	30.979
20	ToNIoT	0.0	43	99.1767	99.4203	97.3942	0.585	30.979
21	N_BaIoT	5	27	50.0	50.0	0.0	1.5794	82.91
22	N_BaIoT	0.5	83	50.0	50.0	0.0	1.6001	82.91
23	N_BaIoT	0.05	100	50.0	50.0	0.0	1.6742	82.91
24	N_BaIoT	0.035	103	50.0	50.0	0.0	1.8519	82.91
25	N_BaIoT	0.01	115	99.6801	99.7397	98.7569	2.0792	82.91
26	N_BaIoT	0.001	115	99.6801	99.7397	98.7569	1.3822	82.91
27	N_BaIoT	0.0001	115	99.6801	99.7397	98.7569	1.9761	82.91
28	N_BaIoT	2e-06	115	99.6801	99.7397	98.7569	1.8319	82.91
29	N_BaIoT	1e-10	115	99.6801	99.7397	98.7569	1.6913	82.91
30	N_BaIoT	0.0	115	99.6801	99.7397	98.7569	2.1685	82.91
	Dataset	Epsilon	Rank_Pt	AUC-ROC	AUC-PR	F1 Score	Train Time (s)	Peak RAM Train (MB)
1	BoTIoT	5	11	96.9378	64.7202	79.2332	0.1784	2.617
2	BoTIoT	0.5	15	97.7317	67.9648	81.5802	0.1587	2.617
3	BoTIoT	0.05	15	97.7317	67.9648	81.5802	0.0929	2.617
4	BoTIoT	0.035	15	97.7317	67.9648	81.5802	0.1858	2.617
5	BoTIoT	0.01	15	97.7317	67.9648	81.5802	0.1261	2.617
6	BoTIoT	0.001	15	97.7317	67.9648	81.5802	0.0922	2.617
7	BoTIoT	0.0001	15	97.7317	67.9648	81.5802	0.158	2.617
8	BoTIoT	2e-06	15	97.7317	67.9648	81.5802	0.0822	2.617
9	BoTIoT	1e-10	15	97.7317	67.9648	81.5802	0.0877	2.617
10	BoTIoT	0.0	15	97.7317	67.9648	81.5802	0.096	2.617
