Rank,Model Name,Performance Score (%),Average Rank
1,LOC-NFST (Proposed),98.28,2.50
2,LUNAR,94.84,4.50
3,LOF,94.23,4.75
4,KNN,93.22,5.75
5,IForest,88.60,6.50
6,CBLOF,89.61,7.00
7,AutoEncoder,86.17,7.25
8,DASVDD,89.30,9.75
9,NeuTraLAD,83.83,10.75
10,SUOD,78.99,11.25
11,DIF,82.15,11.75
12,AE1SVM,80.16,12.25
13,VAE,76.55,12.50
14,HBOS,67.04,13.00
15,OCSVM,73.35,13.25
16,PCA,66.94,14.50
17,LODA,70.40,15.50
18,ECOD,70.84,16.50
19,DeepSVDD,66.32,17.75
20,COPOD,65.59,18.00
21,SO_GAAL,35.39,18.50
22,ALAD,42.00,19.50
23,MO_GAAL,8.67,23.00
